timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,bitcoin_log_return_1,label,barrier_touched,days_to_barrier,return_at_barrier,volatility
2023-10-14,26861.0,26863.0,26977.0,26816.0,5543160607.188677,523979202939.078,0.0008193058703503588,1.0,upper,2.0,0.0596,0.0126
2023-10-15,26860.0,27150.0,27277.0,26816.0,6604845643.42894,529643463244.3381,0.010627171276025487,1.0,upper,1.0,0.049,0.0125
2023-10-16,27154.0,28513.0,29483.0,27131.0,22792799561.834,555338775502.1107,0.04898307724515241,1.0,upper,4.0,0.04,0.0189
2023-10-17,28518.0,28418.0,28613.0,28112.0,10403248077.491972,555003134086.2079,-0.003337376409213261,1.0,upper,3.0,0.0433,0.0182
2023-10-18,28414.0,28328.0,28817.0,28202.0,13461030457.558897,553311088369.7102,-0.003172032406280943,1.0,upper,2.0,0.0465,0.0174
2023-10-19,28327.0,28716.0,28854.0,28188.0,11193923144.463654,559364043794.7655,0.013603743904634065,1.0,upper,2.0,0.0411,0.0169
2023-10-20,28723.0,29677.0,30074.0,28593.0,23561406297.715862,579536788709.3126,0.032917876309084944,1.0,upper,3.0,0.1047,0.0182
2023-10-21,29677.0,29920.0,30253.0,29484.0,7452489477.484937,583719549318.5221,0.00815481808295492,1.0,upper,2.0,0.0966,0.0173
2023-10-22,29920.0,30019.0,30187.0,29741.0,11330304246.065748,583399133857.2509,0.003303361418295568,1.0,upper,1.0,0.0933,0.0165
2023-10-23,29990.0,32953.0,34333.0,29916.0,35558857925.14893,641535355789.0791,0.09325178932038507,1.0,time,5.0,0.034,0.0304
2023-10-24,33071.0,33847.0,35066.0,32884.0,46464714676.18555,660676033939.1393,0.026768065293318204,1.0,time,5.0,0.0207,0.0292
2023-10-25,33908.0,34472.0,35012.0,33779.0,23840463172.498646,673948847498.8158,0.01829703117526162,1.0,time,5.0,0.0008,0.0277
2023-10-26,34498.0,34174.0,34819.0,33766.0,17712548549.578587,667401630872.5822,-0.008682279287455266,1.0,time,5.0,0.0145,0.0274
2023-10-27,34150.0,33899.0,34215.0,33450.0,14148818689.499771,662119938018.2968,-0.008079605599840904,1.0,time,5.0,0.0449,0.0269
2023-10-28,33908.0,34093.0,34373.0,33874.0,8431785274.868206,665892923223.9833,0.0057065691983208345,1.0,time,5.0,0.0241,0.0257
2023-10-29,34082.0,34556.0,34763.0,33950.0,10359013389.425524,674293769229.6088,0.013489111872076095,1.0,time,5.0,0.0051,0.0244
2023-10-30,34525.0,34499.0,34839.0,34172.0,17075173423.648043,673508057017.6387,-0.001650858386657933,1.0,time,5.0,0.0158,0.0236
2023-10-31,34494.0,34672.0,34703.0,34108.0,16419150928.652367,676319525450.0793,0.005002106684023471,1.0,time,5.0,0.0112,0.0225
2023-11-01,34669.0,35457.0,35521.0,34186.0,18642295524.912045,692543794894.7606,0.022388249904210032,0.0,time,5.0,-0.0121,0.0217
2023-11-02,35423.0,34924.0,35878.0,34465.0,20690186421.955303,681560028736.5514,-0.015146422749651984,1.0,time,5.0,0.0146,0.0221
2023-11-03,34937.0,34731.0,34937.0,34123.0,17254049537.002068,677974451476.0634,-0.005541612056860159,1.0,time,5.0,0.0302,0.0214
2023-11-04,34725.0,35048.0,35261.0,34608.0,10001404422.938835,685385094861.7168,0.009085890619896248,1.0,upper,5.0,0.0479,0.0204
2023-11-05,35078.0,35062.0,35366.0,34572.0,12796779677.519655,684647430279.3319,0.0003993724200850263,1.0,upper,4.0,0.0475,0.0195
2023-11-06,35039.0,35031.0,35276.0,34779.0,12717348149.539808,683644463783.0627,-0.000884539169994861,1.0,upper,3.0,0.0484,0.0187
2023-11-07,35058.0,35437.0,35871.0,34546.0,18582602380.374496,691660755958.351,0.011523088279302747,1.0,upper,2.0,0.0369,0.0179
2023-11-08,35440.0,35795.0,35896.0,35187.0,14717120833.223528,699187515031.6934,0.010051746807158004,1.0,upper,2.0,0.0424,0.017
2023-11-09,35648.0,36768.0,37936.0,35606.0,38190964507.15763,717022051490.4104,0.02681968281819692,0.0,time,5.0,-0.0338,0.0173
2023-11-10,36698.0,37344.0,37472.0,36366.0,23152060053.421646,730760729870.4996,0.015544354437800379,0.0,lower,4.0,-0.0494,0.0166
2023-11-11,37319.0,37123.0,37404.0,36822.0,12033297219.971031,720323851790.6948,-0.005935532486305057,0.0,lower,3.0,-0.0434,0.0164
2023-11-12,37152.0,37068.0,37231.0,36862.0,8831221164.408867,725016899532.0363,-0.0014826598933954614,0.0,lower,2.0,-0.042,0.0159
2023-11-13,37068.0,36549.0,37292.0,36437.0,18041088204.36723,714263437353.6985,-0.01410023768406489,1.0,upper,2.0,0.0364,0.0164
2023-11-14,36499.0,35545.0,36748.0,35110.0,22330924588.059715,694845286838.959,-0.02785432665893369,1.0,upper,1.0,0.0643,0.0185
2023-11-15,35541.0,37904.0,37904.0,35389.0,28479730068.295124,739215831747.2646,0.0642571480349833,0.0,time,5.0,-0.011,0.0257
2023-11-16,37904.0,36202.0,37904.0,35579.0,12023334732.149555,707488742969.5619,-0.04594228149206851,0.0,time,5.0,-0.0066,0.0293
2023-11-17,36163.0,36528.0,36673.0,35946.0,22683923623.963726,714651953916.8749,0.008964723863078493,1.0,time,5.0,0.0253,0.028
2023-11-18,36619.0,36582.0,36826.0,36264.0,8877846889.346693,715117663450.342,0.0014772263662943138,1.0,time,5.0,0.0192,0.0266
2023-11-19,36588.0,37414.0,37516.0,36412.0,12599067947.734495,732521837352.2426,0.022488649772978816,1.0,time,5.0,0.0086,0.026
2023-11-20,37388.0,37489.0,37726.0,36942.0,16005284775.311718,732673492672.5168,0.002002590685681773,1.0,time,5.0,0.0085,0.0247
2023-11-21,37479.0,35965.0,37647.0,35945.0,18891503534.641026,702705880301.6978,-0.04150131329307494,1.0,time,5.0,0.0416,0.0273
2023-11-22,35788.0,37465.0,37795.0,35788.0,25245202377.321384,732259726682.3702,0.04086092049695443,0.0,time,5.0,-0.0058,0.0287
2023-11-23,37427.0,37293.0,37643.0,36972.0,11956046626.60703,728816537112.472,-0.004601522338586015,1.0,time,5.0,0.0136,0.0274
2023-11-24,37302.0,37739.0,38349.0,37264.0,22996708651.54232,737614054534.8141,0.01188840102634161,1.0,time,5.0,0.0019,0.0262
2023-11-25,37731.0,37810.0,37883.0,37617.0,7505379785.011788,739536714717.2401,0.001879575398811952,0.0,time,5.0,-0.0026,0.025
2023-11-26,37800.0,37492.0,37825.0,37184.0,10229112671.374176,733376783676.3198,-0.008446041018602102,1.0,time,5.0,0.0314,0.024
2023-11-27,37472.0,37250.0,37568.0,36770.0,17979133247.880783,728040168286.0479,-0.006475632058670811,1.0,upper,5.0,0.0582,0.023
2023-11-28,37247.0,37802.0,38351.0,36911.0,19715537240.688644,738816928726.5587,0.014710066453196084,1.0,upper,5.0,0.0555,0.0222
2023-11-29,37843.0,37810.0,38329.0,37638.0,20964545194.804527,740494537382.5989,0.00021160662407695275,1.0,upper,3.0,0.0433,0.0212
2023-11-30,37864.0,37712.0,38144.0,37547.0,16566770727.560837,737659515838.6104,-0.0025952717090662156,1.0,upper,2.0,0.0459,0.0202
2023-12-01,37720.0,38688.0,38899.0,37632.0,24470176251.56647,756249390093.0282,0.02555112823860685,1.0,upper,3.0,0.0815,0.0205
2023-12-02,38696.0,39482.0,39680.0,38659.0,14892418344.328642,771834682369.2777,0.02031539741109396,1.0,upper,2.0,0.0612,0.02
2023-12-03,39472.0,39960.0,40118.0,39309.0,14107800648.629307,782845232813.069,0.01203408193687661,1.0,upper,1.0,0.0492,0.0191
2023-12-04,39999.0,41974.0,42403.0,39999.0,40273974905.38232,820527379429.3416,0.04917142519487672,1.0,upper,1.0,0.0495,0.0223
2023-12-05,41985.0,44106.0,44368.0,41453.0,37740677039.99004,863171503830.3232,0.049545448644776106,0.0,time,5.0,-0.0079,0.0242
2023-12-06,44082.0,43788.0,44282.0,43496.0,30306637687.601166,857037901744.5414,-0.007236020377694704,0.0,lower,5.0,-0.0609,0.0239
2023-12-07,43757.0,43270.0,44030.0,42908.0,27712048105.023373,848245522795.3333,-0.01190025300551746,0.0,lower,4.0,-0.049,0.0239
2023-12-08,43286.0,44202.0,44676.0,43134.0,24726661392.984177,863242780337.311,0.02131048269193817,0.0,lower,3.0,-0.0703,0.023
2023-12-09,44158.0,43745.0,44346.0,43699.0,17074228506.041449,855611272269.695,-0.010392716370503631,0.0,lower,2.0,-0.0599,0.0228
2023-12-10,43715.0,43758.0,44036.0,43591.0,11865167562.179707,856192504674.1926,0.0002971326719231363,0.0,lower,1.0,-0.0602,0.0218
2023-12-11,43786.0,41201.0,43819.0,40322.0,39734542163.66172,806178244439.1412,-0.0602119253245666,1.0,time,5.0,0.0251,0.0293
2023-12-12,41262.0,41451.0,42042.0,40720.0,24919333990.627098,812055172695.532,0.00604947883705766,0.0,time,5.0,-0.001,0.0279
2023-12-13,41459.0,42932.0,43304.0,40712.0,26301358636.124893,840112594142.6609,0.035105461876635866,0.0,time,5.0,-0.0058,0.0283
2023-12-14,42885.0,43010.0,43329.0,42068.0,22978695605.48269,841400560142.884,0.0018151781763669297,0.0,time,5.0,-0.0178,0.0269
2023-12-15,43032.0,41992.0,43100.0,41761.0,17134765249.072596,821883086852.3783,-0.023953522845646284,1.0,time,5.0,0.0384,0.0271
2023-12-16,41890.0,42247.0,42666.0,41760.0,13524832238.374014,825747211475.3832,0.006054221414984989,1.0,time,5.0,0.0372,0.0258
2023-12-17,42248.0,41411.0,42319.0,41305.0,16536428696.461372,810534011290.7083,-0.019986799342745214,1.0,upper,3.0,0.0523,0.0254
2023-12-18,41355.0,42684.0,42684.0,40571.0,26473040426.60815,834757901244.3383,0.03027759673208007,1.0,time,5.0,0.0247,0.0258
2023-12-19,42609.0,42250.0,43327.0,41837.0,23402523667.558952,827483345952.5029,-0.010219788951135613,1.0,time,5.0,0.0184,0.0249
2023-12-20,42276.0,43634.0,44201.0,42246.0,28334648885.87903,854173854159.8182,0.032232309166649646,1.0,time,5.0,0.0001,0.0254
2023-12-21,43660.0,43850.0,44215.0,43366.0,21948638202.58336,858312140014.9476,0.004938055848359437,0.0,time,5.0,-0.0309,0.0241
2023-12-22,43875.0,44004.0,44243.0,43467.0,20833936534.62855,861822676200.4246,0.0035058200589971468,0.0,time,5.0,-0.0134,0.023
