fast_period,slow_period,profit_factor,n_trades
8,22,1.133967383624914,57
8,23,1.1325254238400932,59
8,24,1.1383372804131124,51
8,25,1.1471796152563174,49
8,26,1.1346779321737137,49
8,27,1.1343607826891127,49
8,28,1.1249407600170664,49
8,29,1.15527376985869,47
8,30,1.1764868446396213,41
8,31,1.1683132703474817,43
8,32,1.1557103334275165,43
8,33,1.138967682326944,47
8,34,1.153427966886658,43
8,35,1.1597637443797548,41
8,36,1.146107205028925,41
8,37,1.1462008761577418,41
8,38,1.147584944310006,37
8,39,1.1453526327436256,35
8,40,1.1402917051388295,37
8,41,1.136473947419416,39
8,42,1.1359684391079166,39
8,43,1.1411157793963231,37
8,44,1.1358671174479045,39
8,45,1.1264110564843008,41
8,46,1.134078266832814,41
8,47,1.1305486652602619,41
8,48,1.127954685602059,41
8,49,1.1243313935784487,39
8,50,1.1367095029234335,37
9,20,1.1815992624430705,53
9,21,1.1558658840684404,51
9,22,1.1513399876519577,49
9,23,1.1369705719463052,51
9,24,1.1412684573422132,47
9,25,1.1334386658620257,47
9,26,1.1492623998660019,45
9,27,1.145418265096936,47
9,28,1.1580769158609472,43
9,29,1.1568989680273503,41
9,30,1.1606073532833097,41
9,31,1.152934338382094,43
9,32,1.1678904115563769,39
9,33,1.1589463886403923,41
9,34,1.1659160018896224,39
9,35,1.1615050652158536,39
9,36,1.1454081316430107,37
9,37,1.144157116514506,37
9,38,1.1454145447680113,35
9,39,1.140070777199612,35
9,40,1.1424271970936946,35
9,41,1.1417247514334339,37
9,42,1.1345494065469823,39
9,43,1.139042077834269,37
9,44,1.1261548074132046,37
9,45,1.125139524055722,41
9,46,1.1327885805600233,45
9,47,1.137910395759563,39
9,48,1.142665471371334,35
9,49,1.138178224173481,35
9,50,1.1367879544742499,35
10,20,1.1555303214308308,49
10,21,1.147270271485784,49
10,22,1.1457916433570565,47
10,23,1.1467717360814698,45
10,24,1.1496497390870988,45
10,25,1.147885379791451,45
10,26,1.166429467776731,41
10,27,1.1507140418344277,43
10,28,1.1542059495522878,41
10,29,1.160410764659898,41
10,30,1.1779803495004906,37
10,31,1.1595535411219116,39
10,32,1.1687929511775277,37
10,33,1.1582323561753056,39
10,34,1.151051097610991,37
10,35,1.15140837008331,35
10,36,1.1473129611962376,35
10,37,1.154557803684537,33
10,38,1.1544146861536626,33
10,39,1.1467786505115274,35
10,40,1.1446325369761556,35
10,41,1.1467978138535637,37
10,42,1.1272021004657595,39
10,43,1.128048287607852,39
10,44,1.1382043946252716,37
10,45,1.1346374787195188,39
10,46,1.1477155025057217,37
10,47,1.1379235860138845,35
10,48,1.1395651340392983,35
10,49,1.1292940678964145,35
10,50,1.1387930807910496,33
11,20,1.1635457885029161,47
11,21,1.1424626313262407,45
11,22,1.1467717360814698,45
11,23,1.1478169235372324,45
11,24,1.143719372834595,45
11,25,1.1606817341448326,41
11,26,1.1491902214579028,41
11,27,1.1514284436529236,41
11,28,1.169816156698728,37
11,29,1.1740205393881418,37
11,30,1.1597780789572514,39
11,31,1.1636611314917422,37
11,32,1.1585513133546939,37
11,33,1.151986334341803,37
11,34,1.1575742952966135,35
11,35,1.1495401858677416,35
11,36,1.1469530977583366,33
11,37,1.1429187315129168,33
11,38,1.1480389921784275,33
11,39,1.154961559473293,33
11,40,1.1350989927125097,35
11,41,1.12852955710728,37
11,42,1.1341052749830927,37
11,43,1.1344425710542774,37
11,44,1.1351537968360983,35
11,45,1.1291071702606859,39
11,46,1.1424632021200312,35
11,47,1.1391706501087717,35
11,48,1.1475155212520474,33
11,49,1.1522488321369202,33
11,50,1.142828292169133,33
