timestamp,signal,label,barrier_touched,days_to_barrier,return_at_barrier
2022-06-13,-1,1.0,lower,5.0,-0.1677
2022-06-14,-1,1.0,lower,4.0,-0.1552
2022-06-15,-1,1.0,lower,3.0,-0.1679
2022-06-16,-1,0.0,time,5.0,0.0142
2022-06-17,1,0.0,time,5.0,-0.0242
2022-06-18,1,1.0,time,5.0,0.1023
2022-06-19,1,1.0,time,5.0,0.0358
2022-06-20,1,1.0,time,5.0,0.0422
2022-06-21,1,1.0,time,5.0,0.0169
2022-06-22,1,1.0,time,5.0,0.0377
2022-06-23,1,0.0,time,5.0,-0.0395
2022-06-24,1,0.0,time,5.0,-0.0558
2022-06-25,1,0.0,time,5.0,-0.0933
2022-06-26,1,0.0,time,5.0,-0.0814
2022-06-27,1,0.0,time,5.0,-0.0741
2022-06-28,1,0.0,time,5.0,-0.0491
2022-06-29,1,1.0,time,5.0,0.0073
2022-06-30,1,1.0,time,5.0,0.0292
2022-07-01,1,1.0,time,5.0,0.058
2022-07-02,1,1.0,upper,5.0,0.1171
2022-07-03,1,1.0,upper,4.0,0.1149
2022-07-04,1,1.0,upper,4.0,0.0761
2022-07-05,1,1.0,upper,3.0,0.0795
2022-07-06,1,0.0,time,5.0,-0.028
2022-07-07,1,0.0,lower,4.0,-0.0799
2022-07-08,1,0.0,lower,3.0,-0.089
2022-07-09,1,0.0,lower,2.0,-0.0766
2022-07-10,1,0.0,lower,2.0,-0.0751
2022-07-11,1,1.0,time,5.0,0.058
2022-07-12,1,1.0,upper,3.0,0.072
2022-07-13,1,1.0,upper,5.0,0.1019
2022-07-14,1,1.0,upper,4.0,0.0848
2022-07-15,1,1.0,upper,3.0,0.0741
2022-07-16,1,1.0,upper,3.0,0.0977
2022-07-17,1,1.0,upper,1.0,0.0727
2022-07-18,1,1.0,time,5.0,0.0049
2022-07-19,1,0.0,time,5.0,-0.0328
2022-07-20,1,0.0,lower,5.0,-0.0889
2022-07-21,-1,1.0,lower,4.0,-0.0821
2022-07-22,-1,1.0,lower,4.0,-0.0665
2022-07-23,-1,0.0,time,5.0,0.0568
2022-07-24,-1,1.0,lower,2.0,-0.0629
2022-07-25,-1,0.0,upper,2.0,0.0714
2022-07-26,-1,0.0,upper,1.0,0.0758
2022-07-27,-1,0.0,time,5.0,0.0184
2022-07-28,-1,1.0,time,5.0,-0.0328
2022-07-29,-1,1.0,time,5.0,-0.0423
2022-07-30,-1,1.0,time,5.0,-0.0421
2022-07-31,-1,1.0,time,5.0,-0.0067
2022-08-01,-1,1.0,time,5.0,-0.0151
2022-08-02,-1,0.0,time,5.0,0.0062
2022-08-03,-1,0.0,time,5.0,0.0413
2022-08-04,-1,0.0,time,5.0,0.0229
2022-08-05,-1,0.0,time,5.0,0.0307
2022-08-06,-1,0.0,time,5.0,0.0411
2022-08-07,-1,0.0,time,5.0,0.051
2022-08-08,-1,0.0,time,5.0,0.0253
2022-08-09,-1,0.0,time,5.0,0.0467
2022-08-10,-1,0.0,time,5.0,0.0096
2022-08-11,-1,1.0,time,5.0,-0.0015
2022-08-12,-1,1.0,time,5.0,-0.0441
2022-08-13,-1,1.0,lower,5.0,-0.0498
2022-08-14,-1,1.0,lower,4.0,-0.0448
2022-08-15,-1,1.0,lower,4.0,-0.1435
2022-08-16,-1,1.0,lower,3.0,-0.1325
2022-08-17,-1,1.0,lower,2.0,-0.109
2022-08-18,-1,1.0,lower,1.0,-0.1043
2022-08-19,-1,0.0,time,5.0,0.0212
2022-08-20,-1,0.0,time,5.0,0.0207
2022-08-21,1,0.0,time,5.0,-0.0642
2022-08-22,1,0.0,time,5.0,-0.0636
2022-08-23,1,0.0,lower,4.0,-0.0717
2022-08-24,1,0.0,lower,3.0,-0.0639
2022-08-25,1,0.0,lower,1.0,-0.0643
2022-08-26,1,0.0,time,5.0,-0.0123
2022-08-27,1,1.0,time,5.0,0.0042
2022-08-28,1,1.0,time,5.0,0.0143
2022-08-29,1,0.0,time,5.0,-0.0246
2022-08-30,1,1.0,time,5.0,0.0088
2022-08-31,1,0.0,time,5.0,-0.012
2022-09-01,1,0.0,lower,5.0,-0.0664
2022-09-02,1,0.0,lower,4.0,-0.0558
2022-09-03,1,0.0,time,5.0,-0.0251
2022-09-04,1,0.0,lower,2.0,-0.0577
2022-09-05,1,0.0,lower,1.0,-0.0479
2022-09-06,1,1.0,upper,3.0,0.1245
2022-09-07,1,1.0,upper,2.0,0.1024
2022-09-08,1,1.0,upper,1.0,0.1002
2022-09-09,1,0.0,time,5.0,-0.0531
2022-09-10,1,0.0,lower,5.0,-0.0969
2022-09-11,1,0.0,lower,2.0,-0.0742
2022-09-12,1,0.0,lower,1.0,-0.1014
2022-09-13,-1,1.0,time,5.0,-0.0378
2022-09-14,-1,1.0,time,5.0,-0.0344
