timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,bitcoin_log_return_1,hilo_high_ma,hilo_low_ma,signal,enter_long,enter_short,strategy_returns,position_change,transaction_cost,strategy_returns_gross,label,barrier_touched,days_to_barrier,return_at_barrier,volatility
2022-08-20,20849.0,21175.0,21354.0,20849.0,23809679190.922188,404924875533.8922,0.01087354318716417,24466.794405495137,23579.699195911977,-1,False,False,-0.01087354318716417,0,0.0,-0.01087354318716417,1.0,time,5.0,0.0207,0.0353
2022-08-21,21157.0,21616.0,21665.0,21127.0,20476237108.351532,413578924865.8514,0.020612540679724945,24291.63552439611,23490.559356729584,-1,False,False,-0.020612540679724945,0,0.0,-0.020612540679724945,0.0,time,5.0,-0.0642,0.0348
2022-08-22,21546.0,21388.0,21553.0,20961.0,28856912427.175735,408409110509.79584,-0.010603764131357885,24082.50841951689,22977.44748538367,-1,False,False,0.010603764131357885,0,0.0,0.010603764131357885,0.0,time,5.0,-0.0636,0.0331
2022-08-23,21404.0,21562.0,21618.0,20955.0,29331102121.793316,412338357271.39594,0.008102489030441003,23536.806735613514,22551.757988306937,-1,False,False,-0.008102489030441003,0,0.0,-0.008102489030441003,0.0,lower,4.0,-0.0717,0.0318
2022-08-24,21553.0,21395.0,21800.0,21211.0,26855905243.361156,409503007623.01685,-0.007775256248145978,23162.44538849081,22266.80639064555,-1,False,False,0.007775256248145978,0,0.0,0.007775256248145978,0.0,lower,3.0,-0.0639,0.0302
2022-08-25,21393.0,21618.0,21768.0,21375.0,26767966536.315014,413843488595.5175,0.01036905112523105,22840.55631079265,22005.645112516442,-1,False,False,-0.01036905112523105,0,0.0,-0.01036905112523105,0.0,lower,1.0,-0.0643,0.0291
2022-08-26,21599.0,20271.0,21817.0,20245.0,34910727805.04114,387215087166.7839,-0.064335007755864,22596.04504863412,21795.516090013156,-1,False,False,0.064335007755864,0,0.0,0.064335007755864,0.0,time,5.0,-0.0123,0.0332
2022-08-27,20267.0,20070.0,20354.0,19882.2,24463219414.743473,383790676113.79205,-0.009965130429900448,22436.8360389073,21678.612872010526,-1,False,False,0.009965130429900448,0,0.0,0.009965130429900448,1.0,time,5.0,0.0042,0.0316
2022-08-28,20054.0,19659.25,20150.0,19659.25,19781826309.451183,376180531070.6233,-0.020678197341823495,22303.068831125842,21617.89029760842,-1,False,False,0.020678197341823495,0,0.0,0.020678197341823495,1.0,time,5.0,0.0143,0.0302
2022-08-29,19652.46,20309.0,20385.0,19617.3,28706315246.140064,389119405471.2333,0.03251617208454928,22205.855064900676,21343.31223808674,-1,False,False,-0.03251617208454928,0,0.0,-0.03251617208454928,0.0,time,5.0,-0.0246,0.0315
2022-08-30,20322.0,19805.35,20526.0,19590.92,30308993725.456158,379555151404.602,-0.025112034328272578,21835.484051920543,21051.089790469392,-1,False,False,0.025112034328272578,0,0.0,0.025112034328272578,1.0,time,5.0,0.0088,0.0305
2022-08-31,19810.93,20024.0,20426.0,19810.93,27825786159.855602,383348414528.78253,0.010979450906773127,21498.387241536435,20772.721832375515,-1,False,False,-0.010979450906773127,0,0.0,-0.010979450906773127,0.0,time,5.0,-0.012,0.0296
2022-09-01,20021.0,20154.0,20188.0,19614.8,25616737335.88055,385027707310.6654,0.006471225728737506,21275.709793229147,20541.637465900414,-1,False,False,-0.006471225728737506,0,0.0,-0.006471225728737506,0.0,lower,5.0,-0.0664,0.0284
2022-09-02,20141.0,19941.45,20428.0,19771.18,24078042298.340073,381788074511.76855,-0.010602299813891786,21125.76783458332,20351.49397272033,-1,False,False,0.010602299813891786,0,0.0,0.010602299813891786,0.0,lower,4.0,-0.0558,0.0271
2022-09-03,19963.43,19814.56,20038.0,19673.17,20048153187.39969,379422449024.2574,-0.0063834590484135,20985.814267666658,20243.381178176267,-1,False,False,0.0063834590484135,0,0.0,0.0063834590484135,0.0,time,5.0,-0.0251,0.0258
2022-09-04,19826.54,19980.01,20021.0,19649.22,21537524477.36904,382421043401.0045,0.00831525272487725,20826.251414133327,20117.664942541014,-1,False,False,-0.00831525272487725,0,0.0,-0.00831525272487725,0.0,lower,2.0,-0.0577,0.0249
2022-09-05,19991.92,19785.73,19991.92,19657.12,23522961655.00036,378685143698.17633,-0.009771302925191457,20746.601131306663,20048.367954032812,-1,False,False,0.009771302925191457,0,0.0,0.009771302925191457,0.0,lower,1.0,-0.0479,0.0237
2022-09-06,19774.58,18859.5,20089.0,18821.25,39940310406.47586,361210437263.86273,-0.047944205076382605,20604.88090504533,19973.32836322625,-1,False,False,0.047944205076382605,0,0.0,0.047944205076382605,1.0,upper,3.0,0.1245,0.026
2022-09-07,18845.69,19280.63,19479.03,18644.13,30517907004.082462,369340091982.8708,0.022084199277878604,20488.104724036268,19908.506690581,-1,False,False,-0.022084199277878604,0,0.0,-0.022084199277878604,1.0,upper,2.0,0.1024,0.0265
2022-09-08,19356.29,19322.78,19386.38,19058.51,28936941008.358917,369723445425.44885,0.0021837457753196067,20388.867779229015,19858.2293524648,-1,False,False,-0.0021837457753196067,0,0.0,-0.0021837457753196067,1.0,upper,1.0,0.1002,0.0253
