timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,bitcoin_log_return_1,hilo_high_ma,hilo_low_ma,signal,enter_long,exit_long,strategy_returns,position_change,transaction_cost,strategy_returns_gross,label,barrier_touched,days_to_barrier,return_at_barrier,volatility
2023-10-27,34150.0,33899.0,34215.0,33450.0,14148818689.499771,662119938018.2968,-0.008079605599840904,31803.458759141726,30570.487248468806,1,False,False,-0.008079605599840904,0,0.0,-0.008079605599840904,1.0,time,5.0,0.0449,0.0269
2023-10-28,33908.0,34093.0,34373.0,33874.0,8431785274.868206,665892923223.9833,0.0057065691983208345,32146.06425792283,31010.955615339633,1,False,False,0.0057065691983208345,0,0.0,0.0057065691983208345,1.0,time,5.0,0.0241,0.0257
2023-10-29,34082.0,34556.0,34763.0,33950.0,10359013389.425524,674293769229.6088,0.013489111872076095,32494.98902353312,31402.828199961015,1,False,False,0.013489111872076095,0,0.0,0.013489111872076095,1.0,time,5.0,0.0051,0.0244
2023-10-30,34525.0,34499.0,34839.0,34172.0,17075173423.648043,673508057017.6387,-0.001650858386657933,32807.52382039537,31772.05110663288,1,False,False,-0.001650858386657933,0,0.0,-0.001650858386657933,1.0,time,5.0,0.0158,0.0236
2023-10-31,34494.0,34672.0,34703.0,34108.0,16419150928.652367,676319525450.0793,0.005002106684023471,33060.25397767599,32083.510959081832,1,False,False,0.005002106684023471,0,0.0,0.005002106684023471,1.0,time,5.0,0.0112,0.0225
2023-11-01,34669.0,35457.0,35521.0,34186.0,18642295524.912045,692543794894.7606,0.022388249904210032,33388.35344731919,32363.842831204256,1,False,False,0.022388249904210032,0,0.0,0.022388249904210032,0.0,time,5.0,-0.0121,0.0217
2023-11-02,35423.0,34924.0,35878.0,34465.0,20690186421.955303,681560028736.5514,-0.015146422749651984,33720.306321009964,32643.997120377022,1,False,False,-0.015146422749651984,0,0.0,-0.015146422749651984,1.0,time,5.0,0.0146,0.0221
2023-11-03,34937.0,34731.0,34937.0,34123.0,17254049537.002068,677974451476.0634,-0.005541612056860159,33882.5321448753,32841.19750432675,1,False,False,-0.005541612056860159,0,0.0,-0.005541612056860159,1.0,time,5.0,0.0302,0.0214
2023-11-04,34725.0,35048.0,35261.0,34608.0,10001404422.938835,685385094861.7168,0.009085890619896248,34066.32785889193,33076.77117041652,1,False,False,0.009085890619896248,0,0.0,0.009085890619896248,1.0,upper,5.0,0.0479,0.0204
2023-11-05,35078.0,35062.0,35366.0,34572.0,12796779677.519655,684647430279.3319,0.0003993724200850263,34239.617477706335,33276.13501436098,1,False,False,0.0003993724200850263,0,0.0,0.0003993724200850263,1.0,upper,4.0,0.0475,0.0195
