,Date,Open,High,Low,Close,Volume,dxy,creditSpreads,realGDP,kalman_close,kalman_smooth,close_kalman_diff,close_slope,kalman_smooth_slope,RSI14,log,log_return,log_return_90,log_return_30,log_return_7,ln_volume,lnrange,lncreditSpreads,lnrealGDP,ln_atr,hidden_state,state,unfav,signal,position,open_return,strategy_return,trade,cum_strategy_return,cum_buy_hold_return
982,2024-09-16,0.314436,0.315025,0.305252,0.306896,9730.830490579812,100.76000213623048,3.32,23400.294,-0.017797443765865933,0.04223600617291328,-0.07828308836884026,-0.012948000000000015,-0.5217738107870942,-0.8524369970940285,0.3054781221208247,0.022204103487670594,-0.9490040311532948,-0.4067621543154608,-0.1717895808888807,-2.658264108039726,-0.6756474035837579,1.199964782928397,10.06050386536943,-0.12193253201020232,0,Short,1.0,Short,-1,-0.0244405856835731,0.0244405856835731,0,3.043903330911361,-0.24464171386358013
983,2024-09-17,0.306751,0.326696,0.305442,0.313995,10440.893146283046,100.88999938964844,3.25,23400.294,-0.024922768372486116,0.03528778090060691,-0.20133360058204272,-0.012441999999999953,-0.484632666442809,-0.6256286666344876,0.3299297358999274,-0.010821309846631284,-0.8731531234689374,-0.3586227373404034,-0.1610193889588123,-2.592863605351544,-0.2634845296709776,1.1786549963416462,10.06050386536943,-0.12301635920989788,0,Short,1.0,Short,-1,0.026040664904107835,-0.026040664904107835,0,2.9385973993664924,-0.22497168185176042
984,2024-09-18,0.314739,0.324628,0.253736,0.273177,350368.2408946877,100.5999984741211,3.21,23400.294,-0.04541709483032108,0.028978563691453532,0.33634041797791164,-0.047734,-0.4483804099303787,-1.2511086774655968,0.1810298994305347,0.09954225509076138,-1.041210305587878,-0.6442506966879588,-0.694971635914422,0.6694640307867162,1.8012056355321313,1.1662709371419244,10.06050386536943,0.047252392199351054,0,Short,1.0,Short,-1,-0.1271879239623942,0.1271879239623942,0,3.4395394259156022,-0.3235459246491009
985,2024-09-19,0.274708,0.292156,0.27428,0.288081,49148.417482463345,100.61000061035156,3.1,23400.294,-0.05883295024741091,0.023457266593355047,0.11128836628743584,-0.036358,-0.4116823756583654,-0.82952715885377,0.23783001241774454,-0.02788310163448607,-0.9811481228875374,-0.4755152120625034,-0.5106070334918331,-1.1543913912494674,-0.3111117587183566,1.1314021114911006,10.06050386536943,0.015105309972753427,0,Short,0.9999999999999998,Short,-1,0.04923773606884385,-0.04923773606884385,0,3.220946555395143,-0.2902388574242796
986,2024-09-20,0.288234,0.301823,0.282263,0.296314,63801.70626702376,100.72000122070312,3.15,23400.294,-0.06813938111396366,0.018807457383704648,-0.018904638301620584,-0.03741699999999998,-0.37361551948374605,-0.6106831283046654,0.26795918107871713,-0.013416758788571775,-0.9164203157346665,-0.5096745958700409,-0.5108680576835088,-0.9120928694733459,-0.2665815822376066,1.1474024528375417,10.06050386536943,-0.023315174839126672,0,Short,0.9999999999999998,Short,-1,0.029038905888965072,-0.029038905888965072,0,3.0983748856106716,-0.2696281704013789
987,2024-09-21,0.296604,0.29835,0.291251,0.295773,32207.15958625571,100.72000122070312,3.15,23400.294,-0.07674671411871105,0.015078908644186944,-0.025160686936925886,-0.032528999999999975,-0.333265880023317,-0.6197378979804231,0.2660052076644217,0.005674111751741813,-0.9105013353547555,-0.5362175072229244,-0.44717900569088465,-1.546859941575647,-0.7613227264526677,1.1474024528375417,10.06050386536943,-0.049127063832086114,0,Short,0.9999999999999875,Short,-1,-0.002879259888605601,0.002879259888605601,0,3.1101751720272794,-0.27173110071410966
988,2024-09-22,0.29575,0.311744,0.292702,0.311744,72097.69391975127,100.72000122070312,3.15,23400.294,-0.07903913609753958,0.01232337372084427,-0.25471879029129346,-0.003200999999999954,-0.2898864426214472,-0.1964874003414536,0.3222368208841436,-0.029649742451981285,-0.8259545602521744,-0.5964285674916938,-0.03584216544276303,-0.798581635481039,-0.312392565779365,1.1474024528375417,10.06050386536943,-0.02273502621914204,0,Short,0.9999999999995531,Short,-1,0.052919695688926405,-0.052919695688926405,0,2.892665952695415,-0.23319133218419097
989,2024-09-23,0.311401,0.424002,0.30895,0.39964,682894.4612926537,100.91999816894533,3.15,23400.294,-0.05086562696429073,0.010537011297422736,0.08222174631900679,0.092744,-0.24356684252526742,1.246778714819016,0.5878175574181161,-0.16401127575553812,-0.5772848107538242,-0.06939918455923644,1.1627402080326672,1.2891551420027123,2.6101023295749077,1.1474024528375417,10.06050386536943,0.24718152910611252,0,Short,0.9999999999358999,Short,-1,0.2828796310866055,-0.2828796310866055,0,1.7915100440535463,-0.016276779118443496
990,2024-09-24,0.39949,0.399596,0.360313,0.363903,203859.10896505188,100.37000274658205,3.21,23400.294,-0.03767038157695444,0.009410515977227078,-0.40466783174699084,0.04990799999999995,-0.19704679471216263,0.6210085301496823,0.48765421460950686,0.08524407272307509,-0.7277779647095931,-0.22248844541441742,0.6534309893244872,0.16658791606547074,0.15392251050693886,1.1662709371419244,10.06050386536943,0.3161685774642161,0,Short,0.999999999782768,Short,-1,-0.09011489649302873,0.09011489649302873,0,2.0430666827326815,-0.10492489534597382
991,2024-09-25,0.36349,0.364982,0.319881,0.324526,137809.11941674884,100.91999816894533,3.19,23400.294,-0.039281235834757885,0.008796124166237916,-0.4432934635122264,0.05134899999999998,-0.15154081075393502,0.07010899483568508,0.3652025898622661,0.09406517070237179,-0.8222947137875087,-0.38924616451752075,0.7615265054430236,-0.1970053276766458,0.481501637179303,1.1600209167967532,10.06050386536943,0.3806385737534175,0,Short,0.9999993324038121,Short,-1,-0.10632479573028131,0.10632479573028131,0,2.3666201261678586,-0.20009357301157327
