timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,signal,label,bitcoin_log_return_1,primary_signal,momentum_3,momentum_5,momentum_10,sma_5,sma_10,price_vs_sma5,price_vs_sma10,volatility_5,volume_sma_5,volume_ratio,signal_x_momentum3,signal_x_momentum5,meta_confidence,refined_by_meta,strategy_returns,position_change,transaction_cost,strategy_returns_gross,barrier_touched,days_to_barrier,return_at_barrier,volatility
2022-07-08,21641.0,21859.0,22289.0,21251.0,46645398900.96298,417690286504.50726,0,,0.009099327489024237,1.0,0.08271831195205315,0.13199065987303116,0.07770053739584881,20906.6,20223.631,0.045554992203419076,0.08086426220889797,0.02483259183731026,26517223239.71948,1.759060459659819,0.08271831195205315,0.13199065987303116,0.9560014727540501,1,0.0,0,0.0,0.0,,,,
2022-07-09,21767.0,21590.0,21889.0,21382.0,26211587451.783283,412459838738.2113,0,,-0.012382491521149298,1.0,0.049739874556328,0.06580441328923325,0.07364861504798847,21173.2,20371.731,0.019685262501653034,0.05980193828398783,0.02535232221158374,28032568720.801655,0.9350405135128731,0.049739874556328,0.06580441328923325,0.9471649484536082,1,-0.0,0,0.0,-0.0,,,,
2022-07-10,21600.0,20860.0,21600.0,20710.0,25037950754.003357,398249545888.6735,0,,-0.03439679495408958,1.0,-0.036978902174414796,0.03323592055079505,0.06382978723404253,21307.4,20496.890999999996,-0.020997399964331698,0.01771532082597327,0.032840739579455255,28315504850.493244,0.8842487847631368,-0.036978902174414796,0.03323592055079505,0.9643470790378006,1,-0.0,0,0.0,-0.0,,,,
2022-07-11,20867.0,19998.47,20867.0,19988.71,21319467248.801025,382000290322.39886,1,1.0,-0.04217767894490961,1.0,-0.08511505558351251,-0.02764282588612821,0.030453253776256073,21193.694,20555.993,-0.05639526549736906,-0.027122163351583017,0.038037849004170246,28228298371.796883,0.7552515907264702,-0.08511505558351251,-0.02764282588612821,0.7758937537503967,1,-0.001,1,0.001,-0.0,time,5.0,0.058,0.0342
2022-07-12,19961.63,19350.74,20051.0,19350.74,22074971578.2899,370191767290.5106,1,1.0,-0.032925108989109914,1.0,-0.10371746178786467,-0.10665527907298822,0.004282178487593491,20731.642,20564.244,-0.06660842397336386,-0.05901038715549167,0.02051584647523848,28257875186.76811,0.7811971506133135,-0.10371746178786467,-0.10665527907298822,0.7421176255392703,1,-0.032925108989109914,0,0.0,-0.032925108989109914,upper,3.0,0.072,0.0336
2022-07-13,19367.81,20225.0,20356.0,19044.67,28560004360.902916,385462566548.9708,1,1.0,0.044188801305948405,1.0,-0.030441035474592537,-0.07475181847294021,0.047372299553138486,20404.841999999997,20655.721,-0.00881369235792151,-0.020852382736966768,0.03527324706981832,24640796278.756096,1.159053629509763,-0.030441035474592537,-0.07475181847294021,0.7248479739525427,1,0.044188801305948405,0,0.0,0.044188801305948405,upper,5.0,0.1019,0.0356
2022-07-14,20271.0,20575.0,20752.0,19707.7,28732413536.669937,393104346702.71136,1,1.0,0.01715728361857813,1.0,0.028828705395962828,-0.047012505789717496,0.015698277138766814,20201.841999999997,20687.521,0.018471483936959965,-0.0054390760497596835,0.03818838250531418,25144961495.73343,1.1426708106729542,0.028828705395962828,-0.047012505789717496,0.6885195032791603,0,0.01715728361857813,0,0.0,0.01715728361857813,upper,4.0,0.0848,0.0344
2022-07-15,20595.0,20795.0,21148.0,20392.0,46542248374.33238,397285233065.65533,1,1.0,0.010635826631741594,1.0,0.07463590539689946,-0.0031160115052732973,0.03001634553469712,20188.841999999997,20748.121000000003,0.03002440655090588,0.0022594335168952817,0.03608925985048135,29445821019.799232,1.5806062375723058,0.07463590539689946,-0.0031160115052732973,0.743892493185022,1,0.010635826631741594,0,0.0,0.010635826631741594,upper,3.0,0.0741,0.0329
2022-07-16,20844.0,21193.0,21475.0,20523.0,42051101694.797554,404705642580.89075,1,1.0,0.018958365279561965,1.0,0.04786155747836829,0.05973106942681117,0.03043710798852528,20427.748,20810.721,0.03746139809439586,0.018369329923744626,0.028071759586896252,33592147908.998543,1.2518134240392844,0.04786155747836829,0.05973106942681117,0.7206305394443827,1,0.018958365279561965,0,0.0,0.018958365279561965,upper,3.0,0.0977,0.0318
2022-07-17,21176.0,20824.0,21576.0,20815.0,29615794461.49923,397660610560.5498,1,1.0,-0.01756477078217274,1.0,0.012102065613608826,0.07613455609449549,-0.038640875305849254,20722.4,20727.021,0.0049029069991892715,0.004678868227132149,0.022373597104741606,35100312485.6404,0.843747316312785,0.012102065613608826,0.07613455609449549,0.7395560749325878,1,-0.01756477078217274,0,0.0,-0.01756477078217274,upper,1.0,0.0727,0.0308
