timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,bitcoin_log_return_1,hilo_high_ma,hilo_low_ma,signal,enter_long,enter_short,strategy_returns,position_change,transaction_cost,strategy_returns_gross,label,barrier_touched,days_to_barrier,return_at_barrier,volatility
2023-01-16,20906.0,21175.0,21446.0,20512.0,34809391745.54498,407760358639.0028,0.01532341775165955,19831.188000000002,18908.868,1,False,False,0.01532341775165955,0,0.0,0.01532341775165955,1.0,upper,4.0,0.0698,0.0238
2023-01-17,21167.0,21157.0,21396.0,20973.0,33278841336.508595,407405144842.9396,-0.0008504205369376332,20521.022,19543.316,1,False,False,-0.0008504205369376332,0,0.0,-0.0008504205369376332,1.0,upper,3.0,0.0707,0.0237
2023-01-18,21133.0,20727.0,21576.0,20533.0,40612056908.80891,399349603616.14526,-0.020533621826412923,21002.386000000002,20155.318,1,False,False,-0.020533621826412923,0,0.0,-0.020533621826412923,1.0,upper,2.0,0.0912,0.0264
2023-01-19,20721.0,21082.0,21189.0,20689.0,29144534677.57505,406258441952.3726,0.016982397658229845,21321.4,20507.940000000002,1,False,False,0.016982397658229845,0,0.0,0.016982397658229845,1.0,upper,1.0,0.0742,0.0246
2023-01-20,21090.0,22706.0,22706.0,20918.0,41321936668.62795,436724993652.4275,0.07420961090934454,21340.2,20658.6,1,False,False,0.07420961090934454,0,0.0,0.07420961090934454,1.0,time,5.0,0.0207,0.0308
2023-01-21,22654.0,22771.0,23329.0,22537.0,44077026803.66082,438578588179.0604,0.0028585898041857912,21662.6,20725.0,1,False,False,0.0028585898041857912,0,0.0,0.0028585898041857912,1.0,time,5.0,0.0111,0.0295
2023-01-22,22768.0,22737.0,23084.0,22399.0,34124364415.43915,438060367560.3554,-0.001494243048525914,22039.2,21130.0,1,False,False,-0.001494243048525914,0,0.0,-0.001494243048525914,1.0,time,5.0,0.0151,0.0286
2023-01-23,22690.0,22985.0,23165.0,22665.0,36750647385.65293,442926343072.59235,0.010848275760189631,22376.8,21415.2,1,False,False,0.010848275760189631,0,0.0,0.010848275760189631,1.0,time,5.0,0.0016,0.0269
2023-01-24,22912.0,22610.0,23164.0,22595.0,35621897292.95152,435679436196.35767,-0.016449542968312834,22694.6,21841.6,1,False,False,-0.016449542968312834,0,0.0,-0.016449542968312834,1.0,time,5.0,0.0512,0.0276
2023-01-25,22630.0,23180.0,23501.0,22317.0,42772537174.72366,446715261348.7517,0.024897551621727087,23089.6,22222.8,1,False,False,0.024897551621727087,0,0.0,0.024897551621727087,0.0,time,5.0,-0.0148,0.0262
2023-01-26,23074.0,23025.0,23262.0,22914.0,37099702812.22777,444005849172.13904,-0.006709255770235083,23248.6,22502.6,1,False,False,-0.006709255770235083,0,0.0,-0.006709255770235083,1.0,time,5.0,0.0049,0.0257
2023-01-27,23038.0,23083.0,23420.0,22638.0,36109035905.258965,444898315874.05536,0.0025158337204905573,23235.2,22578.0,1,False,False,0.0025158337204905573,0,0.0,0.0025158337204905573,1.0,time,5.0,0.0274,0.0244
2023-01-28,23085.0,23022.0,23165.0,22920.0,19567219823.87809,443702765526.11646,-0.002646135368990794,23302.4,22625.8,1,False,False,-0.002646135368990794,0,0.0,-0.002646135368990794,1.0,time,5.0,0.0223,0.0234
2023-01-29,23008.0,23797.0,23955.0,22997.0,38438621263.58117,458368002025.743,0.03310924181936877,23302.4,22676.8,1,False,False,0.03310924181936877,0,0.0,0.03310924181936877,0.0,time,5.0,-0.0146,0.0234
2023-01-30,23755.0,22840.0,23800.0,22672.0,38594596831.97205,439295730927.16473,-0.04104613752442956,23460.6,22757.2,1,False,False,-0.04104613752442956,0,0.0,-0.04104613752442956,1.0,time,5.0,0.0217,0.0277
2023-01-31,22846.0,23137.0,23225.0,22732.0,32683643418.329483,445991168199.3282,0.012919682937735549,23520.4,22828.2,1,False,False,0.012919682937735549,0,0.0,0.012919682937735549,0.0,time,5.0,-0.0083,0.0263
2023-02-01,23146.0,23725.0,23778.0,22697.0,37452064508.17389,457383099382.75,0.02509627677044657,23513.0,22791.8,1,False,False,0.02509627677044657,0,0.0,0.02509627677044657,0.0,time,5.0,-0.0404,0.0255
2023-02-02,23757.0,23540.0,24196.0,23520.0,44735297656.69828,453565018922.54517,-0.007828242663860898,23584.6,22803.6,1,False,False,-0.007828242663860898,0,0.0,-0.007828242663860898,0.0,time,5.0,-0.0105,0.0248
2023-02-03,23520.0,23452.0,23770.0,23299.0,41267040610.76361,452312595756.25696,-0.003745322730162053,23790.8,22923.6,1,False,False,-0.003745322730162053,0,0.0,-0.003745322730162053,0.0,time,5.0,-0.0217,0.0237
