timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,barrier_touched,return_at_barrier,bitcoin_log_return_1,bitcoin_close_topo_window_start_idx,bitcoin_close_topo_window_end_idx,bitcoin_close_topo_tau_used,bitcoin_close_topo_num_holes_0,bitcoin_close_topo_betti_0,bitcoin_close_topo_max_hole_lifetime_0,bitcoin_close_topo_avg_hole_lifetime_0,bitcoin_close_topo_num_relevant_holes_0,bitcoin_close_topo_l1_norm_0,bitcoin_close_topo_l2_norm_0,bitcoin_close_topo_l3_norm_0,bitcoin_close_topo_persistence_entropy_0,bitcoin_close_topo_std_persistence_0,bitcoin_close_topo_wasserstein_0,bitcoin_close_topo_num_holes_1,bitcoin_close_topo_betti_1,bitcoin_close_topo_max_hole_lifetime_1,bitcoin_close_topo_avg_hole_lifetime_1,bitcoin_close_topo_num_relevant_holes_1,bitcoin_close_topo_l1_norm_1,bitcoin_close_topo_l2_norm_1,bitcoin_close_topo_l3_norm_1,bitcoin_close_topo_persistence_entropy_1,bitcoin_close_topo_std_persistence_1,bitcoin_close_topo_wasserstein_1,bitcoin_close_topo_num_holes_0_ma5,bitcoin_close_topo_num_holes_0_ma10,bitcoin_close_topo_max_hole_lifetime_0_ma5,bitcoin_close_topo_avg_hole_lifetime_0_ma5,bitcoin_close_topo_num_relevant_holes_0_ma5,bitcoin_close_topo_l1_norm_0_ma5,bitcoin_close_topo_l1_norm_0_ma10,bitcoin_close_topo_persistence_entropy_0_ma5,bitcoin_close_topo_num_holes_1_ma5,bitcoin_close_topo_num_holes_1_ma10,bitcoin_close_topo_max_hole_lifetime_1_ma5,bitcoin_close_topo_avg_hole_lifetime_1_ma5,bitcoin_close_topo_num_relevant_holes_1_ma5,bitcoin_close_topo_l1_norm_1_ma5,bitcoin_close_topo_l1_norm_1_ma10,bitcoin_close_topo_persistence_entropy_1_ma5,signal,label,meta_decision,final_signal,primary_signal
2023-12-23,43989.0,43752.0,44018.0,43375.0,9872050975.657969,856850313226.057,,,-0.005743212832717632,10.0,30.0,4.0,12.0,12.0,1.91469144821167,1.118333749473095,4.0,13.42000499367714,4.2021246233779905,2.950128259846973,2.38915372659043,0.469911946350325,0.6080235689878464,3.0,3.0,0.48574960231781006,0.2875589927037557,1.0,0.8626769781112671,0.5552989798003429,0.5049832566143254,0.9838067419549686,0.1417585201588789,0.7184232024086412,12.0,12.0,1.6430192470550538,0.985370863477389,4.4,11.824450361728669,10.072746254503727,2.385465512434734,2.8,1.4,0.3721264362335205,0.23771147926648456,0.8,0.6475162267684936,0.3237581133842468,0.8196660409213429,1.0,,1.0,1.0,1
2023-12-24,43730.0,43035.0,43943.0,42895.0,18313974069.822754,845029028630.4425,,,-0.016523587943033803,11.0,31.0,4.0,12.0,12.0,1.8099199533462524,1.2635091245174408,5.0,15.16210949420929,4.646684999784197,3.198328591459008,2.4114095204041677,0.4503903671958278,0.6878469288349152,4.0,4.0,0.25937914848327637,0.17735418677330017,1.0,0.7094167470932007,0.37255948479091133,0.30864044102325977,1.3345704908291067,0.0569704735885062,2.885041148322874,12.0,12.0,1.734095001220703,1.0704671079913775,4.2,12.84560529589653,10.83192635178566,2.3930015449686874,3.4,1.8,0.3675226211547852,0.21670267184575395,1.0,0.7329199314117432,0.3946997880935669,1.086580139087164,1.0,,1.0,1.0,1
2023-12-25,42999.0,43638.0,43744.0,42770.0,18744716867.39297,854524607072.9797,,,0.013914592299020836,12.0,32.0,4.0,12.0,12.0,1.8151612281799316,1.2280062685410182,4.0,14.736075222492218,4.504594222635892,3.099176165368403,2.415592900448863,0.42772424563927375,0.23172527551651,4.0,4.0,0.2641425132751465,0.17087209224700928,1.0,0.6834883689880371,0.3657741347906098,0.3074097608701588,1.3143788467568371,0.06519514944828597,0.3425742793016844,12.0,12.0,1.815596604347229,1.1403449639678,4.0,13.684139567613602,11.434223254024982,2.4006966066231477,3.6,2.2,0.3581642389297485,0.2185005784034729,1.0,0.7724880695343017,0.4630486249923706,1.1850715348507117,1.0,,1.0,1.0,1
2023-12-26,43587.0,42516.0,43587.0,41820.0,20477744539.87234,832471600531.6842,,,-0.02604785472912336,13.0,33.0,4.0,12.0,12.0,1.8659143447875977,1.274677683909734,3.0,15.296132206916809,4.579923394733297,3.1218904172948663,2.445212600656548,0.35095820351046986,0.6021578311920166,4.0,4.0,0.2715282440185547,0.17564979195594788,1.0,0.7025991678237915,0.37600150161961166,0.3160052482017916,1.3143786187579685,0.0670181534428019,0.25899232205601636,12.0,12.0,1.8602854490280152,1.201227639367183,3.8,14.414731672406196,12.12139015942812,2.4121585981642992,3.8,2.6,0.33990933895111086,0.20962809125582377,1.0,0.7810005664825439,0.5333085417747497,1.248607394538477,1.0,,1.0,1.0,1
2023-12-27,42503.0,43418.0,43662.0,42123.0,23244754807.443966,849194163327.4839,,,0.02099362599522838,14.0,34.0,4.0,12.0,12.0,1.892536997795105,1.2484073862433434,4.0,14.98088863492012,4.568937156363633,3.1451373121102506,2.420927930014379,0.42553248157230095,0.33007556200027466,4.0,4.0,0.275402307510376,0.1836959421634674,1.0,0.7347837686538696,0.3885286920452058,0.32382775539764713,1.327878131531282,0.06320155827403011,0.17915945400870764,12.0,12.0,1.8596447944641112,1.2265868425369262,4.0,14.719042110443116,12.790284551680088,2.4164593356228776,3.8,3.0,0.3112403631210327,0.19902620116869607,1.0,0.7385930061340332,0.6067869186401367,1.2550025659660329,1.0,,1.0,1.0,1
2023-12-28,43456.0,42601.0,43789.0,42324.0,20336573643.81929,836073458797.803,,,-0.018996374488349392,15.0,35.0,4.0,12.0,12.0,1.8924640417099,1.151044238358736,5.0,13.812530860304832,4.35779813181512,3.0442287100594494,2.3688650032890854,0.5075735163291818,0.19675731658935547,3.0,3.0,0.11557638645172119,0.08444730440775554,2.0,0.2533419132232666,0.16273723415327168,0.14340093131337636,0.9541129067870504,0.04118804727364639,0.6026319448168689,12.0,12.0,1.8551993131637574,1.2331289403140544,4.2,14.797547283768655,13.310998822748662,2.4124015909626086,3.8,3.3,0.23720571994781495,0.15840386350949603,1.2,0.6167259931564331,0.6321211099624634,1.2490637989324491,1.0,,1.0,1.0,1
2023-12-29,42591.0,42075.0,43097.0,41614.0,24832397519.050613,822933961870.5416,,,-0.012423987101344607,16.0,36.0,4.0,12.0,12.0,1.6775461435317993,1.0825001274545987,5.0,12.990001529455185,4.074900092223772,2.8433485022025704,2.3787440198911605,0.4603560624066472,0.5574487298727036,2.0,2.0,0.11979186534881592,0.07349741458892822,1.0,0.14699482917785645,0.12284173657528996,0.12025765002505844,0.47898111302084045,0.046294450759887695,0.7794783430655706,12.0,12.0,1.8287245512008667,1.196927140901486,4.2,14.363125690817833,13.604365493357182,2.405868490860007,3.4,3.4,0.20928826332092285,0.13763250907262164,1.2,0.5042416095733643,0.6185807704925537,1.0779459233707958,1.0,,1.0,1.0,1
2023-12-30,42092.0,42221.0,42610.0,41574.0,14727224645.41767,826609156660.5117,,,0.003463987519938259,17.0,37.0,4.0,12.0,12.0,1.711812138557434,1.0793267947932084,5.0,12.951921537518501,4.08373157598949,2.8638610566283007,2.374353182608876,0.47412266567055494,0.31288884580135345,2.0,2.0,0.1222386360168457,0.07499867677688599,1.0,0.14999735355377197,0.12535082981198706,0.12271394099070664,0.47898214568948405,0.04723995923995972,0.10864414029072571,12.0,12.0,1.8080547332763672,1.167191246151924,4.4,14.00629495382309,13.845217260718346,2.39762054729201,3.0,3.3,0.1809074878692627,0.118457825978597,1.2,0.3975434064865112,0.5850157380104065,0.9108665831573252,1.0,,1.0,1.0,1
2023-12-31,42197.0,42208.0,42838.0,42008.0,14183728910.169804,827596236151.1959,,,-0.0003079510619037299,18.0,38.0,4.0,12.0,12.0,1.763097882270813,1.0948127284646034,5.0,13.137752741575241,4.134410076589074,2.910158269061465,2.384715936286603,0.47521642056575614,0.4984440952539444,1.0,1.0,0.1259009838104248,0.1259009838104248,0.0,0.1259009838104248,0.1259009838104248,0.12590098381042483,-0.0,0.0,0.3310765633957734,12.0,12.0,1.7874914407730103,1.131218255062898,4.8,13.574619060754776,13.994675366580486,2.385521214418021,2.4,3.1,0.15178203582763672,0.10850806434949241,1.0,0.28220376968383787,0.5316021680831909,0.6479908594057313,1.0,,1.0,1.0,1
2024-01-01,42261.0,44169.0,44169.0,42242.0,16958999497.58364,863804922701.8125,time,-0.0048,0.04541340901647714,19.0,39.0,4.0,12.0,12.0,1.7855066061019897,0.9770783719917139,4.0,11.724940463900566,3.7840398495190177,2.702950194463167,2.35119594587256,0.48843046610035973,0.14389723539352417,1.0,1.0,0.12750113010406494,0.12750113010406494,0.0,0.12750113010406494,0.12750113010406494,0.12750113010406497,-0.0,0.0,0.036540379613616385,12.0,12.0,1.7660853624343873,1.0769524522125722,4.8,12.923429426550864,13.82123576849699,2.371574817589657,1.8,2.8,0.12220180034637451,0.0972691019376119,0.8,0.16074724197387696,0.44967012405395507,0.38241523309947495,1.0,0.0,1.0,1.0,1
