timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,bitcoin_log_return_1,ma,std,banda_superior,banda_inferior,signal,strategy_returns,position_change,transaction_cost,strategy_returns_gross,label,barrier_touched,days_to_barrier,return_at_barrier,volatility
2023-11-26,37800.0,37492.0,37825.0,37184.0,10229112671.374176,733376783676.3198,-0.008446041018602102,36875.6,766.998757975161,38409.59751595032,35341.602484049676,-1,0.008446041018602102,0,0.0,0.008446041018602102,1.0,time,5.0,0.0314,0.024
2023-11-27,37472.0,37250.0,37568.0,36770.0,17979133247.880783,728040168286.0479,-0.006475632058670811,36966.25,691.4405918832605,38349.13118376652,35583.36881623348,-1,0.006475632058670811,0,0.0,0.006475632058670811,1.0,upper,5.0,0.0582,0.023
2023-11-28,37247.0,37802.0,38351.0,36911.0,19715537240.688644,738816928726.5587,0.014710066453196084,37066.6,657.3055365807268,38381.21107316145,35751.988926838545,-1,-0.014710066453196084,0,0.0,-0.014710066453196084,1.0,upper,5.0,0.0555,0.0222
2023-11-29,37843.0,37810.0,38329.0,37638.0,20964545194.804527,740494537382.5989,0.00021160662407695275,37118.7,673.4887253373487,38465.677450674695,35771.7225493253,-1,-0.00021160662407695275,0,0.0,-0.00021160662407695275,1.0,upper,3.0,0.0433,0.0212
2023-11-30,37864.0,37712.0,38144.0,37547.0,16566770727.560837,737659515838.6104,-0.0025952717090662156,37137.1,684.898294407896,38506.89658881579,35767.303411184206,-1,0.0025952717090662156,0,0.0,0.0025952717090662156,1.0,upper,2.0,0.0459,0.0202
2023-12-01,37720.0,38688.0,38899.0,37632.0,24470176251.56647,756249390093.0282,0.02555112823860685,37215.35,767.6093630285992,38750.568726057194,35680.1312739428,-1,-0.02555112823860685,0,0.0,-0.02555112823860685,1.0,upper,3.0,0.0815,0.0205
2023-12-02,38696.0,39482.0,39680.0,38659.0,14892418344.328642,771834682369.2777,0.02031539741109396,37336.05,918.2328265112678,39172.515653022536,35499.58434697747,-1,-0.02031539741109396,0,0.0,-0.02031539741109396,1.0,upper,2.0,0.0612,0.02
2023-12-03,39472.0,39960.0,40118.0,39309.0,14107800648.629307,782845232813.069,0.01203408193687661,37506.6,1068.78678883989,39644.17357767978,35369.02642232022,-1,-0.01203408193687661,0,0.0,-0.01203408193687661,1.0,upper,1.0,0.0492,0.0191
2023-12-04,39999.0,41974.0,42403.0,39999.0,40273974905.38232,820527379429.3416,0.04917142519487672,37828.05,1371.648738024805,40571.34747604961,35084.752523950396,-1,-0.04917142519487672,0,0.0,-0.04917142519487672,1.0,upper,1.0,0.0495,0.0223
2023-12-05,41985.0,44106.0,44368.0,41453.0,37740677039.99004,863171503830.3232,0.049545448644776106,38138.15,1963.222814257164,42064.59562851433,34211.70437148567,-1,-0.049545448644776106,0,0.0,-0.049545448644776106,0.0,time,5.0,-0.0079,0.0242
2023-12-06,44082.0,43788.0,44282.0,43496.0,30306637687.601166,857037901744.5414,-0.007236020377694704,38517.45,2277.179591535125,43071.80918307025,33963.09081692975,-1,0.007236020377694704,0,0.0,0.007236020377694704,0.0,lower,5.0,-0.0609,0.0239
2023-12-07,43757.0,43270.0,44030.0,42908.0,27712048105.023373,848245522795.3333,-0.01190025300551746,38854.55,2458.941609610229,43772.43321922046,33936.666780779546,-1,0.01190025300551746,0,0.0,0.01190025300551746,0.0,lower,4.0,-0.049,0.0239
2023-12-08,43286.0,44202.0,44676.0,43134.0,24726661392.984177,863242780337.311,0.02131048269193817,39235.55,2669.6047504608473,44574.7595009217,33896.34049907831,-1,-0.02131048269193817,0,0.0,-0.02131048269193817,0.0,lower,3.0,-0.0703,0.023
2023-12-09,44158.0,43745.0,44346.0,43699.0,17074228506.041449,855611272269.695,-0.010392716370503631,39552.1,2813.7072174023565,45179.51443480471,33924.68556519529,-1,0.010392716370503631,0,0.0,0.010392716370503631,0.0,lower,2.0,-0.0599,0.0228
2023-12-10,43715.0,43758.0,44036.0,43591.0,11865167562.179707,856192504674.1926,0.0002971326719231363,39865.55,2918.995978702814,45703.54195740563,34027.55804259438,-1,-0.0002971326719231363,0,0.0,-0.0002971326719231363,0.0,lower,1.0,-0.0602,0.0218
2023-12-11,43786.0,41201.0,43819.0,40322.0,39734542163.66172,806178244439.1412,-0.0602119253245666,40127.35,2782.3557280418763,45692.06145608375,34562.63854391625,-1,0.0602119253245666,0,0.0,0.0602119253245666,1.0,time,5.0,0.0251,0.0293
2023-12-12,41262.0,41451.0,42042.0,40720.0,24919333990.627098,812055172695.532,0.00604947883705766,40326.65,2723.7560806432625,45774.16216128653,34879.137838713476,-1,-0.00604947883705766,0,0.0,-0.00604947883705766,0.0,time,5.0,-0.001,0.0279
2023-12-13,41459.0,42932.0,43304.0,40712.0,26301358636.124893,840112594142.6609,0.035105461876635866,40608.6,2684.7816416157516,45978.1632832315,35239.036716768496,-1,-0.035105461876635866,0,0.0,-0.035105461876635866,0.0,time,5.0,-0.0058,0.0283
2023-12-14,42885.0,43010.0,43329.0,42068.0,22978695605.48269,841400560142.884,0.0018151781763669297,40872.15,2646.705425220919,46165.56085044184,35578.73914955816,-1,-0.0018151781763669297,0,0.0,-0.0018151781763669297,0.0,time,5.0,-0.0178,0.0269
2023-12-15,43032.0,41992.0,43100.0,41761.0,17134765249.072596,821883086852.3783,-0.023953522845646284,41081.25,2555.682911617945,46192.61582323589,35969.88417676411,-1,0.023953522845646284,0,0.0,0.023953522845646284,1.0,time,5.0,0.0384,0.0271
2023-12-16,41890.0,42247.0,42666.0,41760.0,13524832238.374014,825747211475.3832,0.006054221414984989,41319.0,2421.879913577186,46162.75982715437,36475.24017284563,-1,-0.006054221414984989,0,0.0,-0.006054221414984989,1.0,time,5.0,0.0372,0.0258
2023-12-17,42248.0,41411.0,42319.0,41305.0,16536428696.461372,810534011290.7083,-0.019986799342745214,41527.05,2224.62948955296,45976.308979105925,37077.79102089408,-1,0.019986799342745214,0,0.0,0.019986799342745214,1.0,upper,3.0,0.0523,0.0254
2023-12-18,41355.0,42684.0,42684.0,40571.0,26473040426.60815,834757901244.3383,0.03027759673208007,41771.15,2055.8183227890077,45882.78664557802,37659.513354421986,-1,-0.03027759673208007,0,0.0,-0.03027759673208007,1.0,time,5.0,0.0247,0.0258
2023-12-19,42609.0,42250.0,43327.0,41837.0,23402523667.558952,827483345952.5029,-0.010219788951135613,41993.15,1833.2355427665052,45659.621085533014,38326.67891446699,-1,0.010219788951135613,0,0.0,0.010219788951135613,1.0,time,5.0,0.0184,0.0249
2023-12-20,42276.0,43634.0,44201.0,42246.0,28334648885.87903,854173854159.8182,0.032232309166649646,42289.25,1563.8168177484738,45416.883635496946,39161.616364503054,-1,-0.032232309166649646,0,0.0,-0.032232309166649646,1.0,time,5.0,0.0001,0.0254
2023-12-21,43660.0,43850.0,44215.0,43366.0,21948638202.58336,858312140014.9476,0.004938055848359437,42547.35,1349.455339445217,45246.26067889043,39848.43932110957,-1,-0.004938055848359437,0,0.0,-0.004938055848359437,0.0,time,5.0,-0.0309,0.0241
2023-12-22,43875.0,44004.0,44243.0,43467.0,20833936534.62855,861822676200.4246,0.0035058200589971468,42773.45,1176.582896848851,45126.615793697696,40420.2842063023,-1,-0.0035058200589971468,0,0.0,-0.0035058200589971468,0.0,time,5.0,-0.0134,0.023
2023-12-23,43989.0,43752.0,44018.0,43375.0,9872050975.657969,856850313226.057,-0.005743212832717632,42963.05,990.1008707247412,44943.25174144949,40982.84825855052,-1,0.005743212832717632,0,0.0,0.005743212832717632,0.0,time,5.0,-0.0267,0.0221
2023-12-24,43730.0,43035.0,43943.0,42895.0,18313974069.822754,845029028630.4425,-0.016523587943033803,43016.1,962.353633436714,44940.807266873424,41091.39273312657,-1,0.016523587943033803,0,0.0,0.016523587943033803,0.0,time,5.0,-0.0226,0.0218
2023-12-25,42999.0,43638.0,43744.0,42770.0,18744716867.39297,854524607072.9797,0.013914592299020836,42992.7,939.8849929642287,44872.46998592845,41112.93001407154,-1,-0.013914592299020836,0,0.0,-0.013914592299020836,0.0,time,5.0,-0.033,0.0211
2023-12-26,43587.0,42516.0,43587.0,41820.0,20477744539.87234,832471600531.6842,-0.02604785472912336,42929.1,926.1730485113637,44781.44609702272,41076.753902977274,-1,0.02604785472912336,0,0.0,0.02604785472912336,0.0,time,5.0,-0.0073,0.0219
2023-12-27,42503.0,43418.0,43662.0,42123.0,23244754807.443966,849194163327.4839,0.02099362599522838,42936.5,929.6249668262619,44795.74993365252,41077.25006634748,-1,-0.02099362599522838,0,0.0,-0.02099362599522838,1.0,time,5.0,0.0171,0.0217
2023-12-28,43456.0,42601.0,43789.0,42324.0,20336573643.81929,836073458797.803,-0.018996374488349392,42856.45,882.6622096335259,44621.77441926705,41091.12558073294,-1,0.018996374488349392,0,0.0,0.018996374488349392,1.0,upper,5.0,0.0547,0.0216
2023-12-29,42591.0,42075.0,43097.0,41614.0,24832397519.050613,822933961870.5416,-0.012423987101344607,42772.95,873.1207473614522,44519.1914947229,41026.70850527709,-1,0.012423987101344607,0,0.0,0.012423987101344607,1.0,upper,3.0,0.0486,0.0209
2023-12-30,42092.0,42221.0,42610.0,41574.0,14727224645.41767,826609156660.5117,0.003463987519938259,42696.1,849.1687514389458,44394.43750287789,40997.76249712211,-1,-0.003463987519938259,0,0.0,-0.003463987519938259,1.0,upper,2.0,0.0451,0.02
2023-12-31,42197.0,42208.0,42838.0,42008.0,14183728910.169804,827596236151.1959,-0.0003079510619037299,42746.45,783.1407398548394,44312.73147970968,41180.16852029032,-1,0.0003079510619037299,0,0.0,0.0003079510619037299,1.0,upper,1.0,0.0454,0.019
2024-01-01,42261.0,44169.0,44169.0,42242.0,16958999497.58364,863804922701.8125,0.04541340901647714,42882.35,782.3365997206769,44447.023199441355,41317.67680055864,-1,-0.04541340901647714,0,0.0,-0.04541340901647714,0.0,time,5.0,-0.0048,0.0228
2024-01-02,44148.0,44995.0,45870.0,44148.0,39089952715.542786,878395004792.8407,0.01852818693453057,42985.5,914.1284891831185,44813.75697836624,41157.24302163376,-1,-0.01852818693453057,0,0.0,-0.01852818693453057,0.0,lower,1.0,-0.0495,0.0221
2024-01-03,44952.0,42822.0,45469.0,41805.0,43146162597.56747,838208392904.1771,-0.04949938326892658,42976.1,914.8296303853227,44805.75926077065,41146.44073922935,-1,0.04949938326892658,0,0.0,0.04949938326892658,1.0,upper,5.0,0.0917,0.0267
2024-01-04,42863.0,44196.0,44814.0,42675.0,26123887042.79777,866352960236.8643,0.03158229803394314,43086.3,922.7582850513799,44931.81657010276,41240.783429897245,-1,-0.03158229803394314,0,0.0,-0.03158229803394314,1.0,upper,4.0,0.0602,0.0271
2024-01-05,44174.0,44114.0,44281.0,43116.0,29364675804.010384,863690851062.0247,-0.0018570948605323967,43179.65,927.8053490839948,45035.26069816799,41324.03930183201,-1,0.0018570948605323967,0,0.0,0.0018570948605323967,1.0,upper,3.0,0.062,0.0258
2024-01-06,44165.0,43956.0,44221.0,43479.0,11841102132.239353,861211168830.4689,-0.003588058805718564,43306.9,843.126318811781,44993.15263762356,41620.64736237644,-1,0.003588058805718564,0,0.0,0.003588058805718564,1.0,upper,2.0,0.0656,0.0247
2024-01-07,44002.0,43884.0,44489.0,43687.0,15144653805.362787,856926317087.4954,-0.0016393446294331684,43366.9,839.1542672297848,45045.20853445957,41688.591465540434,-1,0.0016393446294331684,0,0.0,0.0016393446294331684,1.0,upper,1.0,0.0672,0.0235
2024-01-08,43953.0,46936.0,47193.0,43248.0,40821502383.50064,919666641903.4098,0.06723518266831421,43601.2,1118.563392551966,45838.32678510393,41364.07321489607,-1,-0.06723518266831421,0,0.0,-0.06723518266831421,0.0,lower,4.0,-0.0901,0.0298
2024-01-09,46967.0,46106.0,47680.0,45416.0,39887918405.77868,902166917320.3264,-0.01784187824615453,43724.8,1251.1027809179154,46227.00556183583,41222.594438164175,-1,0.01784187824615453,0,0.0,0.01784187824615453,0.0,lower,3.0,-0.0722,0.0294
2024-01-10,46141.0,46632.0,47599.0,44591.0,52030057180.57072,915259343942.0361,0.011343907365844378,43863.9,1410.283021240599,46684.4660424812,41043.3339575188,-1,-0.011343907365844378,0,0.0,-0.011343907365844378,0.0,lower,2.0,-0.0836,0.028
