timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,bitcoin_log_return_1,ema_fast,ema_slow,atr,ema_signal,long_atr,short_atr,long_trail_stop,short_trail_stop,long_stop,short_stop,signal,long_trailing_stop,short_trailing_stop,strategy_returns,position_change,transaction_cost,strategy_returns_gross
2022-04-28,39224.0,39328.0,40184.0,37265.0,31484572271.03238,756090806420.8264,0.01881399898180703,39468.53012312047,40608.39725293286,1675.857142857143,-1,0.0,43517.642857142855,0.0,42033.107142857145,0,0,-1,0.0,42033.107142857145,-0.01881399898180703,0,0.0,-0.01881399898180703
2022-04-29,39742.0,38292.0,39847.0,37743.0,27758348826.409065,735829877665.6912,-0.0266957362995176,39207.078984649255,40406.97140485174,1766.7142857142858,-1,0.0,42708.78571428572,0.0,42033.107142857145,0,0,-1,0.0,42033.107142857145,0.0266957362995176,0,0.0,0.0266957362995176
2022-04-30,38651.0,38279.0,38756.0,37628.0,20955789685.355682,719611115951.2947,-0.00033955414255800907,39000.83921028276,40221.930413125505,1805.142857142857,-1,0.0,42791.857142857145,0.0,42033.107142857145,0,0,-1,0.0,42033.107142857145,0.00033955414255800907,0,0.0,0.00033955414255800907
2022-05-01,37821.0,38148.0,38582.0,37070.0,24857664487.014507,733294957352.5364,-0.0034281112248827892,38811.319385775474,40041.588638071116,1846.4285714285713,-1,0.0,42764.07142857143,0.0,42033.107142857145,0,0,-1,0.0,42033.107142857145,0.0034281112248827892,0,0.0,0.0034281112248827892
2022-05-02,38538.0,38034.0,39037.0,37693.0,29825308569.42226,733787526677.6703,-0.0029928351865816287,38638.58174449204,39867.01571302146,1787.4285714285713,-1,0.0,42502.57142857143,0.0,42033.107142857145,0,0,-1,0.0,42033.107142857145,0.0029928351865816287,0,0.0,0.0029928351865816287
2022-05-03,38562.0,37240.0,38600.0,36933.0,23070122642.32804,718542028695.8999,-0.02109704412121798,38327.78580127159,39638.579564063075,1834.5714285714287,-1,0.0,41826.42857142857,0.0,41826.42857142857,0,0,-1,0.0,41826.42857142857,0.02109704412121798,0,0.0,0.02109704412121798
2022-05-04,37758.0,39429.0,39875.0,37024.0,31748901527.20592,755764276888.7715,0.057118133759114564,38572.50006765568,39620.355254144546,1953.7142857142858,-1,0.0,44313.28571428572,0.0,41826.42857142857,0,0,-1,0.0,41826.42857142857,-0.057118133759114564,0,0.0,-0.057118133759114564
2022-05-05,39699.0,35933.0,39798.0,35654.0,37402043365.58407,696020943881.887,-0.09284549284206794,37985.94449706553,39299.71566682763,2043.7142857142858,-1,0.0,41042.28571428572,0.0,41042.28571428572,0,0,-1,0.0,41042.28571428572,0.09284549284206794,0,0.0,0.09284549284206794
2022-05-06,36612.0,35915.0,36612.0,35362.0,32223287014.454002,687093350325.4445,-0.0005010577991478987,37525.734608828745,39005.39256536436,2025.0714285714287,-1,0.0,40977.67857142857,0.0,40977.67857142857,0,0,-1,0.0,40977.67857142857,0.0005010577991478987,0,0.0,0.0005010577991478987
2022-05-07,36076.0,35371.0,36128.0,34693.0,19130720394.98043,678702448510.6605,-0.015262760161680098,37046.90469575569,38689.35842924572,2083.3571428571427,-1,0.0,40579.392857142855,0.0,40579.392857142855,0,0,-1,0.0,40579.392857142855,0.015262760161680098,0,0.0,0.015262760161680098
