date,mvrv_z_score
2019-01-01,-0.258801062225358
2019-01-02,-0.2224455051795015
2019-01-03,-0.2597669588789452
2019-01-04,-0.2509967303634192
2019-01-05,-0.2553253042595409
2019-01-06,-0.1680753749738144
2019-01-07,-0.1886546073775292
2019-01-08,-0.1838912275591811
2019-01-09,-0.1834120339647544
2019-01-10,-0.3074208477395256
2019-01-11,-0.2948122216296978
2019-01-12,-0.3019459799816674
2019-01-13,-0.3422534344846955
2019-01-14,-0.2840829977701667
2019-01-15,-0.3118854330250351
2019-01-16,-0.3044323288481697
2019-01-17,-0.2944062243268629
2019-01-18,-0.3031155817742487
2019-01-19,-0.2742519290225779
2019-01-20,-0.3193084298826626
2019-01-21,-0.3288672305056233
2019-01-22,-0.3145296353298636
2019-01-23,-0.3214634030418216
2019-01-24,-0.3148575017546099
2019-01-25,-0.3137222681828588
2019-01-26,-0.313050509273045
2019-01-27,-0.3178454151491418
2019-01-28,-0.3558708684277811
2019-01-29,-0.3651967304742116
2019-01-30,-0.3492485665822591
2019-01-31,-0.3553844896396815
2019-02-01,-0.345720717079518
2019-02-02,-0.3312527791181174
2019-02-03,-0.3533988443035041
2019-02-04,-0.3528372890026235
2019-02-05,-0.35251520846908
2019-02-06,-0.3683962857699097
2019-02-07,-0.3716443041644195
2019-02-08,-0.2751876608699948
2019-02-09,-0.2715140362232166
2019-02-10,-0.264006300233141
2019-02-11,-0.2794520335641924
2019-02-12,-0.2774624431351299
2019-02-13,-0.281160065786175
2019-02-14,-0.2853541039267241
2019-02-15,-0.2838210046005291
2019-02-16,-0.2785519954628491
2019-02-17,-0.2612958349019616
2019-02-18,-0.1734828861531671
2019-02-19,-0.1616313560881314
2019-02-20,-0.1442165797372421
2019-02-21,-0.1604677943166295
2019-02-22,-0.1412253782503261
2019-02-23,-0.088694051214602
2019-02-24,-0.2021959962884078
2019-02-25,-0.1806173873731555
2019-02-26,-0.1922578973871506
2019-02-27,-0.1932599170624878
2019-02-28,-0.1911015174757266
2019-03-01,-0.1871381018273116
2019-03-02,-0.1867049709674967
2019-03-03,-0.1952534302066797
2019-03-04,-0.223261667354759
2019-03-05,-0.1737650862530792
2019-03-06,-0.1697243049938451
2019-03-07,-0.1674818360331363
2019-03-08,-0.1715769562234791
2019-03-09,-0.147926072726389
2019-03-10,-0.1517798224268022
2019-03-11,-0.165873839704156
2019-03-12,-0.1653750310799961
2019-03-13,-0.1639740325874746
2019-03-14,-0.1632108802678938
2019-03-15,-0.1459299565967012
2019-03-16,-0.1113883761809431
2019-03-17,-0.1191601061832586
2019-03-18,-0.1189748019768658
2019-03-19,-0.103425053598274
2019-03-20,-0.098097858665312
2019-03-21,-0.117874245109992
2019-03-22,-0.1179757569497349
2019-03-23,-0.1144865570119611
2019-03-24,-0.1216397643708312
2019-03-25,-0.1420082531698674
2019-03-26,-0.1348286856759584
2019-03-27,-0.0967099620315932
2019-03-28,-0.102221271501169
2019-03-29,-0.0947299547274162
2019-03-30,-0.0920446490527785
2019-03-31,-0.0870909717572218
2019-04-01,-0.0691252063320837
2019-04-02,0.1881495615729388
2019-04-03,0.234708861668048
2019-04-04,0.2045269966902274
2019-04-05,0.2464262748390105
2019-04-06,0.258988713552982
2019-04-07,0.3088929784327016
2019-04-08,0.3373620714506526
2019-04-09,0.3042117025015154
2019-04-10,0.3480371843440165
2019-04-11,0.2544649278763281
2019-04-12,0.2611666440604637
2019-04-13,0.2633286119544925
2019-04-14,0.2920475970670758
2019-04-15,0.2540169496967411
2019-04-16,0.3142114954830442
2019-04-17,0.3212264534200599
2019-04-18,0.336817740614816
2019-04-19,0.3366218922089553
2019-04-20,0.3478825414006091
2019-04-21,0.3384479012978086
2019-04-22,0.3687013083633468
2019-04-23,0.4311187448993901
2019-04-24,0.389963187513248
2019-04-25,0.2974290589705453
2019-04-26,0.3220111567925082
2019-04-27,0.3326469332401477
2019-04-28,0.3287574472170539
2019-04-29,0.3158143153671541
2019-04-30,0.3526397744147599
2019-05-01,0.3735348622275647
2019-05-02,0.4137757317665259
2019-05-03,0.5092572391847914
2019-05-04,0.531192798459268
2019-05-05,0.5210489034253847
2019-05-06,0.50008016270291
2019-05-07,0.5537479649507915
2019-05-08,0.5801388441846547
2019-05-09,0.6519170602084944
2019-05-10,0.7231696860714821
2019-05-11,1.047802834021858
2019-05-12,0.9290463652439293
2019-05-13,1.217500810921935
2019-05-14,1.2730366691014432
2019-05-15,1.350159405233882
2019-05-16,1.2122458987181124
2019-05-17,1.018156638458323
2019-05-18,0.9974098222421796
2019-05-19,1.3481438751288035
2019-05-20,1.2417916207077169
2019-05-21,1.240915227297063
2019-05-22,1.151528598309344
2019-05-23,1.2039556435247285
2019-05-24,1.2381976631777365
2019-05-25,1.2593429116721104
2019-05-26,1.4820194804097386
2019-05-27,1.526823475515796
2019-05-28,1.4878625745255691
2019-05-29,1.4380314732932369
2019-05-30,1.311109613757307
2019-05-31,1.4020302904828343
2019-06-01,1.4021579152343142
2019-06-02,1.4593551601960697
2019-06-03,1.2616739939952162
2019-06-04,1.0788184429814611
2019-06-05,1.1291633680522757
2019-06-06,1.126268640804127
2019-06-07,1.2037985918562728
2019-06-08,1.165574447807601
2019-06-09,1.0704696914677982
2019-06-10,1.1796293064124208
2019-06-11,1.156377982188294
2019-06-12,1.2263091614874373
2019-06-13,1.2576751660848926
2019-06-14,1.425415236555324
2019-06-15,1.4711724089181253
2019-06-16,1.5217026343515367
2019-06-17,1.634045928350185
2019-06-18,1.5337970683769662
2019-06-19,1.60731033276535
2019-06-20,1.6924547018915412
2019-06-21,1.8978856020754291
2019-06-22,2.0910701747301887
2019-06-23,2.133058245442903
2019-06-24,2.1856156829599365
2019-06-25,2.452092312653697
2019-06-26,2.853842889889243
2019-06-27,2.159369910671311
2019-06-28,2.6070411714150747
2019-06-29,2.4466808284611914
2019-06-30,2.0640268187533044
2019-07-01,1.9440340468893915
2019-07-02,2.017984489255639
2019-07-03,2.412117269324022
2019-07-04,2.142321774298464
2019-07-05,2.053335332115667
2019-07-06,2.129589503170403
