date,spot_cvd_sum
2021-06-15,-437.74467553954946
2021-06-16,-6774.874402400844
2021-06-17,-3708.9732621218127
2021-06-18,-9312.621733894726
2021-06-19,-8209.446280430595
2021-06-20,-12640.207252999267
2021-06-21,-14759.261478451506
2021-06-22,-15257.842254275649
2021-06-23,3403.103499101928
2021-06-24,5768.599469862356
2021-06-25,9335.333804331593
2021-06-26,-13199.276272683794
2021-06-27,-10774.334594257512
2021-06-28,81.05484931269879
2021-06-29,3099.101155914595
2021-06-30,-6027.353031684427
2021-07-01,-3325.913506030119
2021-07-02,-364.91484611886005
2021-07-03,1939.9906545974577
2021-07-04,-432.12916336282154
2021-07-05,-4849.129450908945
2021-07-06,-333.9511770767116
2021-07-07,-6322.035327375013
2021-07-08,1723.8717895900809
2021-07-09,5249.881201443676
2021-07-10,990.47499048292
2021-07-11,5527.27430125096
2021-07-12,435.73715530542506
2021-07-13,-2444.1091302941772
2021-07-14,-2501.820850276363
2021-07-15,-2532.806891422191
2021-07-16,-7733.304342208477
2021-07-17,-2632.465322571584
2021-07-18,-1450.7081206921969
2021-07-19,-9019.326989327395
2021-07-20,-12616.902660205991
2021-07-21,6670.759202584471
2021-07-22,236.31631529792804
2021-07-23,-6110.961573573081
2021-07-24,3577.972617811062
2021-07-25,6665.99911688949
2021-07-26,12700.374641654986
2021-07-27,5939.71218460847
2021-07-28,-2567.64102020345
2021-07-29,-1611.9106747544192
2021-07-30,2612.7589691774
2021-07-31,2339.248910620004
2021-08-01,-7157.947468502389
2021-08-02,-2826.5295890507705
2021-08-03,-5725.0985589061875
2021-08-04,2000.943495313559
2021-08-05,1621.277116632186
2021-08-06,6323.028364885603
2021-08-07,8206.557597267989
2021-08-08,-1765.6142086949226
2021-08-09,1736.5801477380733
2021-08-10,-3085.895675585326
2021-08-11,750.8806913935441
2021-08-12,-5456.558922892262
2021-08-13,7831.660406990166
2021-08-14,-3059.4952858247425
2021-08-15,-1512.0845506233386
2021-08-16,804.5686851334534
2021-08-17,-3827.806387714126
2021-08-18,-1439.63108397549
2021-08-19,1375.1356357288228
2021-08-20,4470.786893486519
2021-08-21,-2030.4315566695616
2021-08-22,377.2355496270927
2021-08-23,-2318.5638023313636
2021-08-24,-6440.002775673517
2021-08-25,-3317.4854694740334
2021-08-26,-7819.728033244102
2021-08-27,3763.535008309325
2021-08-28,-368.054351879652
2021-08-29,-1918.728456903111
2021-08-30,-1334.5564948443591
2021-08-31,517.2577737746238
2021-09-01,-399.98814016174254
2021-09-02,614.8266437281641
2021-09-03,-643.5810404831228
2021-09-04,-2433.575487677378
2021-09-05,4131.513627124552
2021-09-06,-6209.122845515342
2021-09-07,-16854.475361039986
2021-09-08,-4984.855735867609
2021-09-09,-789.3192228506675
2021-09-10,-5454.722785111465
2021-09-11,-144.69591545147608
2021-09-12,-487.4179684504584
2021-09-13,-3237.9898895474316
2021-09-14,-5000.315304499071
2021-09-15,-2476.0160082092357
2021-09-16,-4053.758577989287
2021-09-17,-2354.1560732255803
2021-09-18,-4318.586267655413
2021-09-19,-4074.405543152303
2021-09-20,-12435.361385551165
2021-09-21,-10813.43789482343
2021-09-22,7843.101519102105
2021-09-23,2759.9265421367168
2021-09-24,-5215.980238406104
2021-09-25,923.2584237274764
2021-09-26,35.66468776465581
2021-09-27,-7570.78336707433
2021-09-28,-1666.676813119293
2021-09-29,757.3364001087516
2021-09-30,2477.413479269589
2021-10-01,1617.5190875501503
2021-10-02,-1181.443505308614
2021-10-03,-1013.3089019662616
2021-10-04,-1842.2367239059856
2021-10-05,4822.300948180153
2021-10-06,2593.9322922400456
2021-10-07,-5709.1511636749365
2021-10-08,-710.7048052862149
2021-10-09,-5044.837451457637
2021-10-10,502.2585994747381
