date,hash_rate_mean
2022-02-15,235072806584624380000
2022-02-16,205893082604597870000
2022-02-17,211758284774998930000
2022-02-18,185290472159282070000
2022-02-19,208285806929851120000
2022-02-20,201340869878860300000
2022-02-21,172762949463312040000
2022-02-22,207283404490535960000
2022-02-23,208978413131333240000
2022-02-24,183333256918013700000
2022-02-25,185514709444492620000
2022-02-26,177234211387691660000
2022-02-27,185518860117545750000
2022-02-28,213945696899371760000
2022-03-01,225809305358002650000
2022-03-02,189199457356248940000
2022-03-03,206416598670246670000
2022-03-04,188893925397899350000
2022-03-05,168692888735493160000
2022-03-06,178992604748232900000
2022-03-07,203392612759715770000
2022-03-08,202377224487912870000
2022-03-09,188820918025845200000
2022-03-10,198541130527765860000
2022-03-11,188622436969367140000
2022-03-12,215153947738290320000
2022-03-13,205479777697954600000
2022-03-14,209475732075047120000
2022-03-15,192840519705142260000
2022-03-16,209693079184936040000
2022-03-17,216944391346261230000
2022-03-18,195863540561593900000
2022-03-19,210932385422486000000
2022-03-20,212383107846185520000
2022-03-21,206752672733336140000
2022-03-22,204644997899806900000
2022-03-23,196971472300407130000
2022-03-24,198450065195965300000
2022-03-25,209574477330926370000
2022-03-26,219701007587735340000
2022-03-27,178665746406435450000
2022-03-28,216939163104125750000
2022-03-29,206789713386937680000
2022-03-30,184713026229196800000
2022-03-31,193845224858807600000
2022-04-01,200353055075874280000
2022-04-02,192589656635315030000
2022-04-03,196282245737797780000
2022-04-04,226231860861682750000
2022-04-05,204510245249180200000
2022-04-06,215546262763070620000
2022-04-07,193439630165832370000
2022-04-08,191040982905503300000
2022-04-09,218397693112112680000
2022-04-10,199479243409336760000
2022-04-11,194973898975524300000
2022-04-12,214794273514582640000
2022-04-13,199827087383615180000
2022-04-14,194585781473154430000
2022-04-15,221764590987521300000
2022-04-16,187767956231468100000
2022-04-17,230894557680015080000
2022-04-18,190777976903880840000
2022-04-19,171282648355572700000
2022-04-20,226047805908442020000
2022-04-21,236795403129527760000
2022-04-22,188506826520394760000
2022-04-23,236204528488819820000
2022-04-24,232981567924512360000
2022-04-25,227539583668466060000
2022-04-26,195985188780674580000
2022-04-27,244501348772854240000
2022-04-28,194968810304745370000
2022-04-29,223758520586221600000
2022-04-30,220484055801516720000
2022-05-01,249219501514476550000
2022-05-02,235126276047799580000
2022-05-03,223072017129607170000
2022-05-04,215826684054401600000
2022-05-05,231833175321566670000
2022-05-06,209962133923047280000
2022-05-07,212151630474406200000
2022-05-08,229268791522284440000
2022-05-09,229959896594522900000
2022-05-10,226509308474457400000
2022-05-11,225017995396198240000
2022-05-12,210082454604077200000
