date,dormancy_flow
2022-01-20,220171.62582720653
2022-01-21,197123.7074069123
2022-01-22,189503.81111588408
2022-01-23,196540.82989033367
2022-01-24,198008.20949447568
2022-01-25,199295.6930784454
2022-01-26,198790.1270842751
2022-01-27,200893.31404294888
2022-01-28,204397.66220752776
2022-01-29,206442.98890527687
2022-01-30,205545.20472162036
2022-01-31,208473.21554341936
2022-02-01,205709.24078870905
2022-02-02,195864.14185437915
2022-02-03,196513.7601855664
2022-02-04,218531.47612708985
2022-02-05,220000.8005778912
2022-02-06,225394.89246688795
2022-02-07,234319.58212698292
2022-02-08,235519.5002319811
2022-02-09,237039.24614177697
2022-02-10,232959.93462045636
2022-02-11,227040.28530051396
2022-02-12,225899.35788365157
2022-02-13,226637.7696244405
2022-02-14,229347.9264791609
2022-02-15,238179.67612367033
2022-02-16,237967.15148424715
2022-02-17,219100.90733267937
2022-02-18,216449.36208767144
2022-02-19,217451.44354228763
2022-02-20,209934.52723900604
2022-02-21,203306.14393026353
2022-02-22,208998.9162834051
2022-02-23,203825.57217457227
2022-02-24,209461.54928547863
2022-02-25,214457.09267348543
2022-02-26,213954.1760394707
2022-02-27,206642.06971219432
2022-02-28,237130.1222768863
2022-03-01,243391.24944923597
2022-03-02,241431.61897475124
2022-03-03,233424.7230859522
2022-03-04,215401.3871426571
2022-03-05,216716.6536556746
2022-03-06,211520.10874840876
2022-03-07,210652.95889274476
2022-03-08,213216.4996851133
2022-03-09,231230.49613506452
2022-03-10,217365.427136509
2022-03-11,215047.61430831524
2022-03-12,216240.21530302172
2022-03-13,210329.4254562776
2022-03-14,221402.68961020536
2022-03-15,220185.38130580436
2022-03-16,230244.9378616888
2022-03-17,229481.1607431529
2022-03-18,234380.34894246247
2022-03-19,236827.28651460324
2022-03-20,232719.55014228536
2022-03-21,232179.966493448
2022-03-22,239577.06670277496
2022-03-23,242663.5951247151
2022-03-24,249143.62281408647
2022-03-25,245033.6129751398
2022-03-26,246082.29075175285
2022-03-27,259197.8185865089
2022-03-28,262043.4789657102
2022-03-29,262125.65323243744
2022-03-30,260569.85583258927
2022-03-31,251590.91489220448
2022-04-01,256885.39920760263
2022-04-02,255983.80864520863
2022-04-03,258322.8791243871
2022-04-04,260195.18541466692
2022-04-05,254637.74038352523
2022-04-06,242199.89243889836
2022-04-07,243103.50036852428
2022-04-08,236390.4949854996
2022-04-09,239517.2005389217
2022-04-10,237730.3790154175
2022-04-11,223542.43888856456
2022-04-12,227561.4543895453
2022-04-13,233600.95436879256
2022-04-14,228221.5436434697
2022-04-15,233037.99969854657
2022-04-16,232651.89118788904
2022-04-17,229564.3259502781
2022-04-18,236489.9658015093
