timestamp,dogecoin_open,dogecoin_close,dogecoin_high,dogecoin_low,dogecoin_total_volume,dogecoin_market_cap,dogecoin_open_btc,dogecoin_high_btc,dogecoin_low_btc,dogecoin_close_btc,dogecoin_volume_btc,dogecoin_log_return_1,sma_fast,sma_slow,signal,strategy_returns,position_change,transaction_cost,strategy_returns_gross,label,barrier_touched,days_to_barrier,return_at_barrier,volatility
2023-12-27,0.091334,0.09354,0.093867,0.089701,524538028.1872258,13318398244.210375,2.1488836082158906e-06,2.14985570977051e-06,2.1295016974099663e-06,2.154406006725321e-06,0.022565866258105086,0.024884794836397238,0.09354442857142857,0.0937525294117647,-1,-0.024884794836397238,0,0.0,-0.024884794836397238,0.0,time,5.0,-0.016,0.0318
2023-12-28,0.0936,0.091807,0.094892,0.091218,592768130.6945498,13114433387.769466,2.1539027982326952e-06,2.167028249103656e-06,2.155231074567621e-06,2.1550433088425154e-06,0.02914788602428632,-0.0187006048550749,0.09311785714285714,0.09361564705882353,-1,0.0187006048550749,0,0.0,0.0187006048550749,0.0,time,5.0,-0.0062,0.0309
2023-12-29,0.091797,0.090986,0.092966,0.089541,502859083.6467458,12948168851.242376,2.1553145030640278e-06,2.157133907232522e-06,2.15170375354448e-06,2.1624717765894237e-06,0.020250122174508868,-0.008982898915194834,0.0925032857142857,0.09345288235294118,-1,0.008982898915194834,0,0.0,0.008982898915194834,0.0,lower,5.0,-0.1048,0.0295
2023-12-30,0.091004,0.090133,0.091398,0.089399,313348879.1756359,12832894398.523205,2.1620260382020335e-06,2.144989439098803e-06,2.1503583970750953e-06,2.134790743942588e-06,0.02127684521150653,-0.0094192912584615,0.09200614285714286,0.09308352941176472,-1,0.0094192912584615,0,0.0,0.0094192912584615,0.0,lower,4.0,-0.0953,0.0281
2023-12-31,0.089991,0.089312,0.090851,0.088881,324211103.9635713,12730648655.856302,2.132639761120459e-06,2.120803959101732e-06,2.1158112740430396e-06,2.1159969673995453e-06,0.022857959709813008,-0.00915049991509722,0.09165228571428571,0.09255370588235294,-1,0.00915049991509722,0,0.0,0.00915049991509722,0.0,lower,3.0,-0.0862,0.0269
2024-01-01,0.08951,0.092056,0.092172,0.088825,383568914.7723664,13100780647.90147,2.1180284422990466e-06,2.086802961352985e-06,2.102765020595616e-06,2.0841766850053205e-06,0.022617425917550046,0.03026123016724572,0.09129642857142857,0.0925004705882353,-1,-0.03026123016724572,0,0.0,-0.03026123016724572,0.0,lower,2.0,-0.1164,0.0274
2024-01-02,0.091989,0.091243,0.094371,0.090707,543573062.6699328,12973892183.29734,2.083650448491438e-06,2.0573577501635056e-06,2.054611760442149e-06,2.027847538615402e-06,0.013905697625819833,-0.008870810329864844,0.09129671428571427,0.09216370588235294,-1,0.008870810329864844,0,0.0,0.008870810329864844,0.0,lower,1.0,-0.1076,0.0262
2024-01-03,0.09112,0.081937,0.092148,0.080584,1080512234.8124804,11665253330.39959,2.02705107670404e-06,2.026611537531065e-06,1.9276163138380575e-06,1.9134323478585775e-06,0.02504306686299371,-0.10757561789804447,0.08963914285714285,0.09151505882352941,-1,0.10757561789804447,0,0.0,0.10757561789804447,0.0,time,5.0,-0.0078,0.0408
2024-01-04,0.082029,0.084091,0.085228,0.081389,567949044.9246985,11982276017.937819,1.913748454377902e-06,1.9018163966617575e-06,1.9071821909783247e-06,1.9026835007693004e-06,0.02174060253722002,0.025948886501303243,0.08853685714285715,0.09105011764705882,-1,-0.025948886501303243,0,0.0,-0.025948886501303243,0.0,time,5.0,-0.0591,0.0403
2024-01-05,0.084045,0.082674,0.08481,0.08118,608674548.1863511,11781867084.078701,1.9025897586815773e-06,1.915268399539306e-06,1.8828277205677708e-06,1.8740989255111755e-06,0.020728120829558872,-0.016994382554730326,0.08734942857142858,0.09061276470588235,-1,0.016994382554730326,0,0.0,0.016994382554730326,1.0,time,5.0,0.0046,0.0385
2024-01-06,0.082744,0.080565,0.082759,0.0789,475622034.4814291,11465449513.956333,1.8735197554624702e-06,1.8714863978652675e-06,1.8146691506244393e-06,1.8328555828555828e-06,0.04016704097049122,-0.025840851214288706,0.08598257142857144,0.08997735294117647,-1,0.025840851214288706,0,0.0,0.025840851214288706,1.0,time,5.0,0.0489,0.037
